,Seqname,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
10,gi|1000814511|ref|NM_001320453.1|,0.263092,0.223192,0.245636,0.26808,0.078652,0.173533,0.126092,0.097378,0.161049,0.072409,0.003741,0.218204,0.5399,0.774314,1.0,0.049875,0.312968,0.521197,0.804239,0.987531,0.001247,0.17207,0.428928,0.673317,0.976309,0.008728,0.264339,0.504988,0.755611,0.983791
11,gi|1001184398|ref|NM_001320455.1|,0.234437,0.192053,0.283444,0.290066,0.067639,0.161804,0.12069,0.094164,0.145889,0.115385,0.001325,0.369536,0.593377,0.806623,1.0,0.039735,0.353642,0.598675,0.838411,0.986755,0.002649,0.190728,0.4,0.629139,0.974834,0.006623,0.21457,0.411921,0.739073,0.982781
12,gi|1002623418|ref|NM_001320679.1|,0.261668,0.269798,0.233966,0.234568,0.117771,0.128916,0.101807,0.110542,0.128313,0.100301,0.002409,0.36495,0.617284,0.81632,1.0,0.000602,0.336043,0.607347,0.791629,0.996989,0.000903,0.192412,0.386932,0.63505,0.994279,0.000301,0.198434,0.355616,0.619091,0.996688
13,gi|1006456381|ref|NM_001321205.1|,0.22918,0.262105,0.265978,0.242737,0.080749,0.153101,0.118217,0.132429,0.146641,0.094315,0.000646,0.275016,0.504196,0.692705,0.996127,0.002582,0.236281,0.477728,0.741123,1.0,0.001937,0.251775,0.518399,0.792124,0.999354,0.003228,0.218851,0.487411,0.755326,0.998709
14,gi|1007378466|ref|NM_001321202.1|,0.228671,0.261538,0.268531,0.241259,0.079776,0.153254,0.118964,0.130161,0.146256,0.095871,0.000699,0.305594,0.484615,0.685315,0.995804,0.002797,0.238462,0.497902,0.737762,1.0,0.002098,0.234266,0.500699,0.801399,0.999301,0.003497,0.240559,0.513986,0.757343,0.998601
15,gi|1010221562|ref|NM_001321553.1|,0.295868,0.317355,0.208264,0.178512,0.153974,0.147351,0.094371,0.125828,0.129139,0.06457,0.004959,0.282645,0.628099,0.821488,1.0,0.001653,0.186777,0.492562,0.775207,0.998347,0.003306,0.272727,0.452893,0.657851,0.97686,0.009917,0.224793,0.46281,0.634711,0.995041
16,gi|1010223708|ref|NM_001321552.1|,0.277879,0.261426,0.254113,0.206581,0.126374,0.141026,0.075092,0.10989,0.141026,0.102564,0.003656,0.451554,0.674589,0.848263,1.0,0.010969,0.334552,0.577697,0.793419,0.978062,0.001828,0.120658,0.338208,0.563071,0.954296,0.009141,0.160878,0.367459,0.566728,0.974406
17,gi|1012282594|ref|NM_001321706.1|,0.266784,0.183746,0.29682,0.25265,0.044248,0.143363,0.086726,0.111504,0.127434,0.134513,0.017668,0.309187,0.641343,0.932862,1.0,0.003534,0.217314,0.477032,0.706714,0.922261,0.019435,0.233216,0.462898,0.701413,0.915194,0.001767,0.231449,0.471731,0.660777,0.925795
18,gi|1013071015|ref|NM_001025591.3|,0.247391,0.238183,0.241559,0.272867,0.082898,0.141541,0.13755,0.128339,0.153516,0.070003,0.002149,0.297422,0.6062,0.829957,1.0,0.000921,0.221915,0.490792,0.790362,0.994782,0.000307,0.227133,0.566605,0.748005,0.993554,0.000614,0.25046,0.433395,0.616329,0.994168
19,gi|1013071031|ref|NM_001321918.1|,0.281996,0.341649,0.201735,0.17462,0.177971,0.122626,0.085187,0.143245,0.128052,0.052089,0.003796,0.292842,0.527115,0.752169,1.0,0.001627,0.348698,0.57321,0.774946,0.998915,0.004338,0.163232,0.395879,0.755423,0.999458,0.000542,0.133406,0.38449,0.664317,0.995662
