,Seqname,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
10,gi|1000814511|ref|NM_001320453.1|,0.73192,0.359551,0.001247,0.245636,0.5,0.741895,1.0,0.198502,0.17603,731.920227,551.122192,179.551117,179.551117,100.997505,86.034912,97.256859,89.775558,420.199493,129.675812,110.972572,68.578552,129.675812,49.875313,68.578552,72.319199,41.147133,37.406483,29.925186,33.665836,34.91272,31.17207,19.950125,48.628429,21.197008,27.431421,39.900249,34.91272,64.837906,7.481297,17.45636,19.950125,19.950125
11,gi|1001184398|ref|NM_001320455.1|,0.709934,0.381963,0.001325,0.260927,0.521854,0.756291,1.0,0.236074,0.161804,709.933777,517.880798,190.72847,190.72847,125.827812,72.847679,109.933777,88.741722,386.754974,129.801331,121.854301,68.874168,129.801331,60.927151,68.874168,82.119202,38.410595,50.331127,39.7351,35.761589,31.78808,23.841059,17.218542,56.953644,33.112583,19.86755,43.708611,39.7351,63.57616,10.596026,14.569536,15.89404,17.218542
12,gi|1002623418|ref|NM_001320679.1|,0.765432,0.330422,0.000602,0.283047,0.542307,0.780488,1.0,0.202108,0.228313,765.432129,600.120422,165.010544,165.311646,109.304428,105.691055,92.743149,122.553452,477.566986,122.252335,115.326706,49.68383,122.553452,42.758205,49.68383,54.200542,57.211681,45.468231,31.918097,31.918097,52.996086,17.464619,35.23035,52.996086,24.691359,15.055706,27.702499,33.122555,58.717255,30.412527,33.423668,19.572418,36.434811
13,gi|1006456381|ref|NM_001321205.1|,0.757263,0.359173,0.000646,0.253712,0.503551,0.745642,1.0,0.212532,0.213178,757.262756,577.146545,179.470627,179.470627,114.267273,98.773399,98.127823,114.267273,441.575195,134.925766,127.824402,51.646225,134.925766,44.544868,51.646225,65.203354,51.646225,48.418335,27.114267,38.734669,50.355068,21.304068,26.468689,60.038734,20.658489,17.430601,28.405422,35.506779,56.165268,28.405422,29.696579,21.304068,28.405422
14,gi|1007378466|ref|NM_001321202.1|,0.758741,0.361092,0.000699,0.252448,0.496503,0.748951,1.0,0.214836,0.209937,758.741272,577.622375,180.419586,180.419586,114.685318,97.9021,100.0,111.888115,440.559448,136.363632,130.069931,50.349651,136.363632,44.055943,50.349651,65.034966,51.748253,48.95105,25.874126,39.860142,48.251747,21.678322,27.272728,61.53846,20.27972,18.181818,29.37063,35.664337,54.545456,29.37063,27.972029,21.678322,27.972029
15,gi|1010221562|ref|NM_001321553.1|,0.821488,0.288079,0.001653,0.25124,0.512397,0.780165,1.0,0.15894,0.279801,821.48761,676.033081,143.801651,143.801651,79.338844,138.842972,79.338844,140.495865,560.330566,114.049583,114.049583,29.752066,114.049583,29.752066,29.752066,52.892563,74.380165,44.628098,18.181818,16.528925,62.809917,26.446281,49.586777,46.280991,13.223141,19.834711,13.223141,29.752066,80.991737,13.223141,44.628098,21.487604,46.280991
16,gi|1010223708|ref|NM_001321552.1|,0.793419,0.318681,0.001828,0.274223,0.542962,0.787934,1.0,0.177656,0.236264,793.41864,632.541138,159.049362,159.049362,93.235832,113.34552,84.095062,122.48629,521.023743,109.689217,120.658134,38.391224,109.689217,49.360146,38.391224,62.157223,56.67276,42.047531,25.594151,25.594151,54.844608,23.765997,34.734917,42.047531,21.937843,20.10969,21.937843,32.906765,76.782448,9.140768,36.563072,20.10969,34.734917
17,gi|1012282594|ref|NM_001321706.1|,0.74735,0.348673,0.003534,0.256184,0.510601,0.772085,1.0,0.221239,0.155752,747.349854,572.438171,173.144882,174.911667,111.307419,75.971733,109.540634,79.505302,443.462891,127.208481,116.607773,56.537102,128.975266,45.936398,56.537102,67.13781,44.169613,47.703178,35.33569,28.268551,30.035336,30.035336,15.90106,65.371025,26.501766,17.667845,40.636044,31.80212,47.703178,17.667845,14.134275,21.201414,17.667845
18,gi|1013071015|ref|NM_001025591.3|,0.727133,0.361068,0.000307,0.248926,0.547575,0.784837,1.0,0.207553,0.211237,727.13324,546.347473,180.478821,180.478821,106.507057,102.823822,100.982201,108.348679,419.275635,126.764885,116.942909,63.535912,127.071823,53.406998,63.535912,57.09024,54.634747,45.119705,33.763046,27.62431,48.802948,29.772867,24.248005,54.634747,24.861879,21.485575,30.079803,36.21854,57.397175,24.248005,26.703499,25.782688,23.327194
19,gi|1013071031|ref|NM_001321918.1|,0.82538,0.265328,0.001627,0.274403,0.525488,0.760846,1.0,0.137276,0.321215,825.379639,692.516296,132.321045,132.863342,70.498917,158.35141,66.70282,162.689804,584.598694,107.375275,100.867676,31.453362,107.917572,24.94577,31.995661,40.130154,80.260307,26.030369,17.353579,27.114967,88.937096,23.861172,45.553146,40.672451,8.13449,17.895878,16.26898,26.030369,80.260307,22.234274,60.195229,24.403471,47.722343
