,Seqname,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
10,gi|1000814511|ref|NM_001320453.1|,0.754364,0.343321,0.003741,0.27182,0.521197,0.776808,1.0,0.486284,0.513716,0.558052,0.003741,0.274314,0.537406,0.790524,1.0,0.001247,0.223192,0.476309,0.725686,0.983791,0.252185,0.233458,0.287141,0.270911,754.364075,486.284302,513.715698,582.29425,170.822937,172.069824,206.982544,278.054871,279.301758,234.413971,107.231918,135.910217,144.638397,97.256859,122.194511,155.860352,164.588531,114.713219,450.124695,130.922699,123.441399,47.381546,132.169571,39.900249,48.628429,89.775558,115.960098,137.157104,140.897751,117.206985,162.094757,142.144638,92.269325,56.109726,51.122196,54.862843,34.91272,17.45636,47.381546,34.91272,53.615959,51.122196,38.653366,54.862843,41.147133,16.209476,54.862843,12.468828,29.925186,48.628429,33.665836,48.628429,67.331673,62.344139,53.615959,6.234414,74.812965,38.653366,42.394016,63.591022,48.628429,52.369076,63.591022,8.72818,53.615959,24.937656,36.159599,38.653366,31.17207
11,gi|1001184398|ref|NM_001320455.1|,0.716556,0.371353,0.001325,0.291391,0.548344,0.793377,1.0,0.42649,0.57351,0.522546,0.001325,0.365563,0.6,0.822517,1.0,0.002649,0.198675,0.406623,0.692715,0.982781,0.229443,0.261273,0.266578,0.255968,716.556274,426.490051,573.509949,529.801331,185.430466,185.430466,164.238403,260.927155,260.927155,312.582794,98.013245,147.019867,131.125824,113.907288,108.609268,152.317886,157.615891,103.311256,394.701996,133.774841,116.55629,68.874168,135.099335,50.331127,68.874168,67.549667,95.364235,113.907288,147.019867,96.688744,164.238403,147.019867,165.562912,59.60265,58.278145,54.304634,26.490067,17.218542,60.927151,35.761589,50.331127,54.304634,27.814569,49.006622,31.78808,15.89404,63.57616,10.596026,39.7351,43.708611,37.086094,38.410595,56.953644,52.980133,47.682117,7.94702,60.927151,39.7351,51.655628,51.655628,49.006622,56.953644,56.953644,3.97351,45.033112,21.192053,37.086094,47.682117,38.410595
12,gi|1002623418|ref|NM_001320679.1|,0.766034,0.339759,0.000301,0.270099,0.543812,0.766938,1.0,0.531466,0.468534,0.469578,0.000602,0.3514,0.612165,0.806685,1.0,0.000301,0.193315,0.377898,0.627823,0.996688,0.246687,0.228614,0.23012,0.239458,766.034302,531.466431,468.533569,595.904846,169.828369,169.828369,296.597412,234.567902,234.869019,233.664566,114.122253,123.456787,132.490219,105.088829,97.259865,137.308044,132.791321,102.07769,470.039154,125.56459,127.371277,42.457092,125.56459,44.263775,42.457092,184.281845,112.01445,121.348991,113.21891,112.315567,122.553452,113.21891,120.445648,61.126167,64.137306,60.523937,36.434811,17.163506,55.404999,30.412527,37.639267,68.654022,34.327011,29.509184,40.349293,15.055706,56.609455,18.669075,29.810299,31.616983,34.327011,51.1894,60.825054,56.910568,29.810299,10.538994,64.438423,40.349293,32.520325,59.921711,31.014755,41.854862,37.33815,10.840109,52.393856,15.055706,34.628124,38.241493,26.799156
13,gi|1006456381|ref|NM_001321205.1|,0.734022,0.379845,0.000646,0.248547,0.493221,0.738541,1.0,0.491285,0.508715,0.550388,0.000646,0.255003,0.495804,0.724338,1.0,0.001937,0.243383,0.510652,0.774693,0.999354,0.23385,0.240956,0.264858,0.28553,734.021973,491.284698,508.715302,543.576477,189.799866,189.799866,215.622986,275.016144,275.016144,233.699158,99.418983,137.508072,134.280182,103.29245,107.165916,167.85022,157.520981,117.495155,402.840546,140.735962,135.571335,54.228535,140.090378,49.063911,54.228535,113.621689,102.001289,136.862488,138.153641,101.355713,173.014847,138.153641,95.545517,55.519691,78.114914,55.519691,22.595222,21.304068,55.519691,40.671402,41.316978,72.950287,29.696579,31.633312,33.570045,18.076178,61.329891,14.202711,27.759846,45.190445,29.696579,36.797935,65.203354,63.912201,34.861202,8.392511,72.950287,47.127178,47.772758,56.165268,40.671402,60.684311,45.190445,11.6204,45.190445,29.696579,41.962555,48.418335,32.924469
14,gi|1007378466|ref|NM_001321202.1|,0.731469,0.379286,0.000699,0.254545,0.495804,0.735664,1.0,0.49021,0.50979,0.548635,0.000699,0.258042,0.48951,0.725874,1.0,0.002098,0.235664,0.506993,0.773427,0.999301,0.23303,0.242127,0.26522,0.283415,731.468506,490.209778,509.790222,541.258728,189.510483,189.510483,215.384613,274.125885,274.125885,235.664337,97.9021,139.160843,134.965042,102.797203,106.993004,167.132874,158.041962,116.083916,401.39859,139.860138,134.265732,55.244755,139.160843,49.650349,55.244755,114.685318,100.699303,135.664337,138.461533,100.0,173.426575,138.461533,97.202797,54.545456,79.720284,54.545456,22.377623,20.979021,57.342659,41.258739,40.559441,74.125877,29.37063,31.468531,32.867134,18.181818,60.839161,13.986014,27.972029,47.552448,27.272728,38.46154,62.237762,64.335663,34.265736,8.391608,71.328674,46.853146,48.95105,55.244755,39.860142,62.937061,44.055943,11.888112,44.755245,28.671329,41.958042,49.650349,32.867134
15,gi|1010221562|ref|NM_001321553.1|,0.791736,0.337748,0.001653,0.242975,0.52562,0.766942,1.0,0.613223,0.386777,0.496689,0.001653,0.246281,0.560331,0.801653,1.0,0.003306,0.261157,0.459504,0.649587,0.995041,0.301325,0.193709,0.22351,0.273179,791.735535,613.223145,386.776855,621.48761,168.595047,168.595047,363.636353,247.933884,247.933884,138.842972,140.495865,107.438019,160.330582,85.950417,100.826447,147.107437,122.314049,125.619835,487.603302,132.2314,137.190079,31.404959,133.884293,34.710743,31.404959,219.834717,142.148758,173.553726,74.380165,143.801651,104.132233,74.380165,64.462807,76.033058,49.586777,66.1157,56.198349,16.528925,51.23967,29.752066,26.446281,76.033058,49.586777,34.710743,62.809917,14.876033,47.933884,14.876033,23.140495,31.404959,19.834711,57.851238,84.297523,76.033058,14.876033,9.917356,97.52066,24.793388,24.793388,64.462807,23.140495,34.710743,26.446281,8.264462,79.338844,19.834711,26.446281,19.834711,19.834711
16,gi|1010223708|ref|NM_001321552.1|,0.745887,0.35348,0.003656,0.301645,0.561243,0.780622,1.0,0.539305,0.460695,0.467033,0.003656,0.380256,0.641682,0.824497,1.0,0.001828,0.149909,0.363803,0.566728,0.974406,0.267399,0.24359,0.216117,0.250916,745.886658,539.305298,460.694702,568.555786,175.502747,177.330902,305.301636,232.175507,234.003662,226.69104,129.798904,126.142593,137.111511,117.001831,98.720291,133.455215,117.001831,117.001831,444.241302,122.48629,120.658134,54.844608,124.314445,53.016453,54.844608,193.784271,109.689217,144.424133,87.751373,111.517365,122.48629,87.751373,138.939667,67.641685,56.67276,62.157223,53.016453,14.625229,71.297989,21.937843,32.906765,65.81353,45.703838,25.594151,51.188301,16.453382,58.500916,14.625229,43.875687,23.765997,29.250458,45.703838,63.985374,67.641685,18.281536,12.797075,76.782448,16.453382,40.219379,51.188301,32.906765,32.906765,25.594151,10.968922,60.329067,20.10969,36.563072,23.765997,27.422304
17,gi|1012282594|ref|NM_001321706.1|,0.70318,0.389381,0.001767,0.256184,0.524735,0.79682,1.0,0.45053,0.54947,0.469027,0.003534,0.266784,0.54947,0.855124,1.0,0.001767,0.233216,0.466431,0.680212,0.925795,0.187611,0.261947,0.214159,0.254867,703.180237,450.530029,549.469971,507.067139,194.346283,194.346283,215.547699,233.215546,234.98233,314.48764,91.872795,132.508835,95.406357,128.975266,102.473495,130.74205,111.307419,123.674911,367.49118,137.809189,125.441696,68.904594,137.809189,56.537102,68.904594,128.975266,84.805656,97.173141,136.042404,86.572441,148.409897,136.042404,178.445236,56.537102,67.13781,42.402828,26.501766,22.968199,70.671379,17.667845,44.169613,49.469963,21.201414,24.734982,31.80212,17.667845,74.204948,14.134275,40.636044,21.201414,38.869259,40.636044,44.169613,42.402828,33.568905,26.501766,54.770317,26.501766,49.469963,42.402828,24.734982,44.169613,33.568905,22.968199,44.169613,37.102474,42.402828,33.568905,45.936398
18,gi|1013071015|ref|NM_001025591.3|,0.758441,0.339883,0.000614,0.256292,0.493861,0.750153,1.0,0.485574,0.514426,0.560946,0.000921,0.258134,0.543278,0.814303,1.0,0.000307,0.24248,0.462554,0.697667,0.994168,0.22444,0.223519,0.291065,0.26988,758.440735,485.573975,514.426025,588.397766,169.736038,170.042969,205.033768,280.233276,280.540222,233.885818,95.457336,128.606506,128.913437,94.84346,125.844078,154.389191,165.131989,115.408226,461.325958,126.764885,118.784531,50.951504,127.071823,42.971149,50.951504,102.209946,102.516884,145.181091,135.052185,102.823822,177.716385,135.359116,98.526703,54.327808,65.991409,48.49601,26.396563,20.564764,42.050339,40.82259,45.733578,68.753838,30.079803,30.079803,31.614487,15.653775,51.565376,11.049724,32.228359,48.802948,37.139351,46.961327,55.555557,70.902397,47.575199,7.366483,74.278702,33.14917,46.961327,55.248619,49.723759,60.159607,59.852669,7.673419,47.575199,29.158993,38.674034,34.376919,33.456108
19,gi|1013071031|ref|NM_001321918.1|,0.798265,0.31796,0.000542,0.280369,0.518438,0.749458,1.0,0.623644,0.376356,0.47911,0.001627,0.323753,0.552603,0.761931,1.0,0.000542,0.149132,0.394794,0.704447,0.999458,0.300597,0.180141,0.213239,0.265871,798.264648,623.644226,376.355743,638.828613,158.893707,158.893707,383.947937,239.154007,239.69632,136.659439,141.540131,98.698479,158.893707,81.344902,95.444687,143.70932,117.678955,122.017357,513.557495,125.271149,122.017357,36.876354,124.728851,33.622559,36.876354,246.203903,137.744034,155.639908,83.514099,137.744034,101.409981,84.056396,52.603035,74.295013,52.603035,80.260307,41.214752,19.522776,43.926247,31.995661,22.776573,79.175705,54.772236,24.94577,46.637745,17.895878,47.722343,12.472885,21.149675,31.995661,19.522776,55.856834,81.887199,66.160522,22.776573,6.507592,89.479393,22.776573,31.453362,63.991322,20.607376,33.080261,28.199566,5.422994,73.752708,18.980476,28.741865,23.318872,27.114967
