,Seqname,MReCA: Molar refractivity composition of A,MReCB: Molar refractivity composition of B,MReAB: Molar refractivity transition between A and B,MReA0: Molar refractivity distribution of 0.00A,MReA1: Molar refractivity distribution of 0.25A,MReA2: Molar refractivity distribution of 0.50A,MReA3: Molar refractivity distribution of 0.75A,MReA4: Molar refractivity distribution of 1.00A,MReB0: Molar refractivity distribution of 0.00B,MReB1: Molar refractivity distribution of 0.25B,MReB2: Molar refractivity distribution of 0.50B,MReB3: Molar refractivity distribution of 0.75B,MReB4: Molar refractivity distribution of 1.00B,MRe: Molar refractivity0,MRe: Molar refractivity1,MRe: Molar refractivity00,MRe: Molar refractivity01,MRe: Molar refractivity10,MRe: Molar refractivity11,MRe: Molar refractivity000,MRe: Molar refractivity001,MRe: Molar refractivity010,MRe: Molar refractivity011,MRe: Molar refractivity100,MRe: Molar refractivity101,MRe: Molar refractivity110,MRe: Molar refractivity111
10,gi|1000814511|ref|NM_001320453.1|,0.508728,0.491272,0.374532,0.001247,0.206983,0.478803,0.725686,1.0,0.008728,0.293017,0.508728,0.776808,0.987531,508.72818,491.27182,320.448883,187.032425,187.032425,304.23941,205.735657,113.466331,72.319199,114.713219,113.466331,73.566086,114.713219,189.526184
11,gi|1001184398|ref|NM_001320455.1|,0.517881,0.482119,0.397878,0.001325,0.229139,0.483444,0.715232,1.0,0.006623,0.280795,0.517881,0.784106,0.986755,517.880798,482.119202,317.880798,198.675491,198.675491,283.443695,196.026489,120.5298,82.119202,116.55629,120.5298,78.145699,116.55629,166.887421
12,gi|1002623418|ref|NM_001320679.1|,0.495634,0.504366,0.430422,0.000903,0.266787,0.497441,0.769648,1.0,0.000301,0.241494,0.501355,0.728997,0.996989,495.63385,504.36615,280.33725,214.995483,215.2966,289.06955,168.623901,111.412224,98.464317,116.531166,111.713341,103.58326,116.832283,172.237274
13,gi|1006456381|ref|NM_001321205.1|,0.495158,0.504842,0.425711,0.000646,0.260168,0.511298,0.746934,0.999354,0.002582,0.229826,0.484829,0.750161,1.0,495.158173,504.841827,282.117493,213.040665,212.395096,291.801147,165.267914,116.849579,98.773399,113.621689,116.204002,96.191093,113.621689,178.179474
14,gi|1007378466|ref|NM_001321202.1|,0.497203,0.502797,0.424773,0.000699,0.265035,0.496503,0.753147,0.999301,0.002797,0.239161,0.509091,0.744056,1.0,497.202789,502.797211,284.615387,212.587418,211.888107,290.209778,167.832169,116.783218,97.202797,114.685318,116.083916,95.804199,114.685318,175.524475
15,gi|1010221562|ref|NM_001321553.1|,0.504132,0.495868,0.438742,0.003306,0.272727,0.519008,0.780165,1.0,0.001653,0.216529,0.479339,0.73719,0.998347,504.132233,495.867767,284.297516,218.181824,219.834717,276.033051,157.024796,127.272728,107.438019,110.743805,127.272728,90.909088,110.743805,165.289261
16,gi|1010223708|ref|NM_001321552.1|,0.531993,0.468007,0.413919,0.001828,0.244973,0.528336,0.784278,1.0,0.009141,0.255941,0.489945,0.716636,0.978062,531.992676,468.007324,323.583191,206.58136,206.58136,261.425964,202.925049,118.829979,96.892136,109.689217,118.829979,87.751373,109.689217,151.73674
17,gi|1012282594|ref|NM_001321706.1|,0.563604,0.436396,0.376991,0.017668,0.270318,0.515901,0.779152,1.0,0.001767,0.226148,0.477032,0.666078,0.925795,563.604248,436.395752,374.558319,187.27916,189.045929,247.349823,261.4841,111.307419,77.738518,109.540634,113.074203,75.971733,111.307419,136.042404
18,gi|1013071015|ref|NM_001025591.3|,0.48895,0.51105,0.41879,0.000307,0.262124,0.585942,0.781768,1.0,0.000614,0.237876,0.451811,0.697667,0.994782,488.950287,511.049713,279.312469,209.330872,209.330872,301.718842,167.280533,111.724983,93.922653,115.408226,112.031921,97.298958,115.408226,186.310623
19,gi|1013071031|ref|NM_001321918.1|,0.483731,0.516269,0.458492,0.003796,0.241323,0.47885,0.752711,1.0,0.000542,0.270065,0.516269,0.746204,0.998915,483.731018,516.268982,254.338394,228.850327,229.392624,286.876343,133.40564,120.390457,114.967461,113.882866,120.932755,108.459869,114.425163,172.451187
