,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
10,ENST00000628924.1,0.789418,0.324629,0.000353,0.264198,0.505467,0.74321,1.0,0.626102,0.373898,0.51482,0.000705,0.247972,0.485362,0.734039,1.0,0.000353,0.253616,0.529806,0.769665,0.997884,0.317925,0.141143,0.225476,0.289344,789.417969,626.102295,373.897705,626.807739,162.257492,162.257492,368.606689,257.142853,257.495605,116.402115,147.79541,81.481483,170.017639,59.611992,99.470901,157.671951,125.925926,131.569672,495.943573,130.511459,125.925926,36.33157,130.511459,31.746031,36.33157,211.640213,156.613754,174.60318,82.53968,156.966492,100.529099,82.53968,33.862434,84.656082,40.564373,74.074074,49.029984,24.691359,29.629629,36.33157,15.520282,88.888885,51.851852,29.276896,51.499119,19.047619,36.684303,11.287477,11.640212,44.444443,10.58201,66.313934,90.29982,74.426811,22.222221,2.821869,100.176369,21.869488,35.626102,70.546738,19.400352,35.978836,26.102293,3.527337,86.419754,13.756614,31.393297,25.044092,27.865961
11,ENST00000563777.1,0.744115,0.357468,0.000253,0.267021,0.510251,0.754239,1.0,0.473804,0.526196,0.531392,0.000253,0.281448,0.540876,0.772463,0.999747,0.000759,0.227031,0.462161,0.725133,1.0,0.218734,0.246076,0.271646,0.259747,744.115417,473.804108,526.195923,565.173401,178.688934,178.688934,208.048599,265.755493,265.502411,260.440399,99.721588,132.624649,118.95723,113.389015,121.741333,144.014175,149.83548,115.666924,437.357635,127.562645,121.994431,56.694508,127.562645,51.126297,56.694508,104.0243,104.0243,133.637054,131.865356,103.771194,161.731201,131.865356,128.575043,52.3918,69.855736,50.366997,25.81625,23.538345,53.404202,34.168564,44.798786,66.818527,24.044546,28.094152,32.143761,22.272842,55.429005,23.285244,34.674767,36.446468,37.711971,49.607693,54.416603,68.337128,38.977474,14.173627,65.299927,31.890661,46.823589,58.972412,42.520882,48.342194,49.607693,16.45153,44.798786,29.612757,41.255379,31.890661,33.915466
12,ENST00000508266.1,0.742397,0.335125,0.001789,0.268336,0.529517,0.781753,0.996422,0.50805,0.49195,0.503584,0.001789,0.277281,0.57424,0.796064,0.996422,0.008945,0.245081,0.449016,0.695886,1.0,0.209677,0.25448,0.259857,0.243728,742.397156,508.050079,491.949921,574.239685,168.157425,166.368515,255.81395,252.23613,250.44722,239.713776,96.601074,134.168152,112.701256,119.856888,112.701256,139.534882,146.690521,103.756706,456.171722,118.067978,112.701256,55.456173,116.279068,50.089447,53.667263,143.112701,112.701256,141.323792,110.912346,110.912346,139.534882,109.123436,128.801437,42.933811,62.611805,53.667263,30.411449,12.522362,82.289803,19.677996,32.200359,42.933811,41.144901,28.62254,33.989265,14.31127,64.400719,12.522362,42.933811,25.044724,23.255814,53.667263,59.033989,78.711983,23.255814,10.733453,62.611805,30.411449,46.511627,60.822899,44.722717,41.144901,32.200359,8.944544,50.089447,14.31127,39.355991,35.778175,32.200359
13,ENST00000517774.1,0.673347,0.391566,0.004008,0.278557,0.50501,0.765531,1.0,0.282565,0.717435,0.463855,0.004008,0.284569,0.56513,0.833667,1.0,0.002004,0.236473,0.47495,0.729459,0.995992,0.114458,0.323293,0.251004,0.212851,673.34668,282.565125,717.434875,476.953918,194.388779,196.392792,50.100201,230.460922,232.464935,484.96994,52.10421,166.332672,62.124249,156.312622,114.228455,116.232468,136.272552,96.192383,336.67334,138.27655,112.224449,82.16433,140.280563,56.112225,82.16433,14.028056,34.068138,66.132263,164.328659,36.072144,196.392792,164.328659,320.641296,32.064129,94.188377,18.036072,4.008016,30.06012,54.108215,26.052105,86.172348,48.096191,2.004008,12.024048,10.020041,22.044088,80.160324,16.032064,60.120239,34.068138,80.160324,16.032064,18.036072,42.084167,58.116234,14.028056,24.048096,38.076153,54.108215,30.06012,46.092186,60.120239,60.120239,24.048096,6.012024,52.10421,38.076153,34.068138,46.092186
14,ENST00000454129.5,0.784796,0.320171,0.000451,0.265509,0.517934,0.762012,1.0,0.555155,0.444845,0.528204,0.000902,0.292578,0.540492,0.782089,1.0,0.000226,0.212046,0.443041,0.722084,0.999098,0.238944,0.202166,0.267374,0.26083,784.795837,555.154541,444.84549,624.633423,159.936844,160.162415,290.999329,263.929626,264.155212,180.690277,109.857887,110.760208,129.032257,91.360252,115.497406,148.43222,151.815933,112.339272,503.270935,121.136925,119.106697,40.830139,121.362511,38.799911,40.830139,167.606583,123.167152,152.718246,111.211372,123.392738,140.762466,111.436951,69.253326,62.260319,60.230091,55.041733,34.739452,20.076698,42.634785,33.611549,34.513874,70.155647,32.483646,26.392962,37.446426,20.979021,52.334763,15.113918,23.911572,36.544102,27.746447,55.041733,68.12542,77.374237,34.06271,4.060456,75.344009,34.288292,38.799911,68.576584,38.574329,44.665012,42.634785,6.090683,54.816151,21.881344,35.641777,31.806902,30.904579
15,ENST00000602498.1,0.764526,0.361963,0.003058,0.266055,0.519878,0.761468,1.0,0.525994,0.474006,0.56135,0.009174,0.262997,0.53211,0.767584,1.0,0.003058,0.2263,0.440367,0.700306,0.993884,0.214724,0.276074,0.279141,0.282209,764.526001,525.993896,474.006104,581.039734,180.428131,180.428131,244.648315,278.287476,281.345551,192.660553,103.975533,140.672775,110.091743,134.55658,107.033638,171.25383,171.25383,110.091743,434.250763,143.730881,134.55658,45.871559,143.730881,36.697247,45.871559,122.324158,119.266052,155.963303,122.324158,122.324158,159.021408,125.382263,67.27829,64.220184,70.336388,55.045872,18.348623,27.522936,70.336388,24.464832,45.871559,42.813457,30.581039,36.697247,24.464832,27.522936,91.743118,9.174312,33.639145,30.581039,36.697247,51.987766,67.27829,79.510704,27.522936,0.0,76.452599,51.987766,42.813457,64.220184,36.697247,70.336388,45.871559,0.0,58.103977,18.348623,33.639145,45.871559,33.639145
16,ENST00000476405.1,0.720887,0.38826,0.000231,0.252079,0.508087,0.757163,1.0,0.435305,0.564695,0.54287,0.000462,0.246072,0.500924,0.767791,1.0,0.000231,0.253697,0.494455,0.735675,0.999076,0.203836,0.259995,0.270857,0.272013,720.887268,435.304993,564.695007,526.571167,194.085022,194.085022,163.817001,271.256927,271.487976,293.207031,88.262474,143.484283,115.526802,116.451019,111.367836,159.889099,159.426987,112.060997,391.404816,134.935303,130.083176,64.001846,134.935303,59.149723,64.001846,76.478745,87.107208,120.609978,150.646957,87.338264,184.149719,150.646957,142.560074,51.2939,76.478745,45.055454,22.643253,20.56377,55.683918,38.585953,49.214417,57.532349,24.029575,33.733826,24.029575,18.946396,70.240295,12.939002,33.271721,46.441776,41.589649,41.589649,45.517559,60.536045,40.896488,9.935305,60.073936,46.441776,53.373383,50.831795,42.28281,66.312386,52.680222,13.170055,36.50647,27.495378,48.059151,45.979668,38.817005
17,ENST00000411861.5,0.682101,0.40113,0.000565,0.282891,0.561265,0.774139,1.0,0.367589,0.632411,0.522034,0.000565,0.287973,0.561265,0.783738,1.0,0.001694,0.229814,0.457369,0.722756,0.998871,0.187571,0.279096,0.272316,0.249718,682.100525,367.588928,632.411072,481.084137,200.451721,200.451721,106.154716,260.869568,260.869568,371.541504,78.486732,154.714844,108.977982,124.223602,115.753815,145.115753,156.408813,104.460754,350.084686,130.434784,119.706383,80.745338,130.434784,70.016937,80.745338,37.267082,68.322983,103.896103,156.973465,68.322983,192.546585,156.973465,214.568039,47.430832,80.745338,39.525692,13.551665,25.409372,62.676453,40.654999,51.3834,54.771317,15.245624,38.96104,18.633541,21.456804,73.404854,15.810277,35.008469,50.254093,40.090343,33.31451,35.008469,58.159233,38.96104,18.633541,45.736874,45.736874,53.64201,45.172218,50.254093,60.982494,54.206661,16.939583,23.150763,32.185207,49.124786,44.042915,41.784302
18,ENST00000560706.5,0.727273,0.377119,0.002114,0.295983,0.530655,0.754757,1.0,0.473573,0.526427,0.508475,0.002114,0.306554,0.534884,0.716702,1.0,0.006342,0.188161,0.45666,0.775899,0.997886,0.222458,0.241525,0.237288,0.271186,727.272705,473.572937,526.427063,536.997864,188.160675,188.160675,217.758987,253.699783,253.699783,272.727264,103.594078,126.849892,118.393234,114.164902,103.594078,150.105713,133.192383,120.507401,422.832977,114.164902,122.621567,65.539108,112.050743,73.995773,65.539108,112.050743,105.708244,124.735733,128.964066,103.594078,147.991547,128.964066,143.763214,46.511627,71.881607,61.310783,25.369978,16.913319,57.082451,25.369978,44.397465,65.539108,29.598309,23.255814,27.484144,12.684989,54.968288,27.484144,31.712473,29.598309,44.397465,48.625793,57.082451,61.310783,40.169132,2.114165,63.424946,29.598309,57.082451,61.310783,33.826637,38.05497,46.511627,21.141649,42.283298,21.141649,54.968288,25.369978,35.940804
19,ENST00000449589.5,0.751404,0.376934,0.001404,0.26264,0.502809,0.759831,1.0,0.553371,0.446629,0.561181,0.002809,0.257022,0.501404,0.755618,1.0,0.001404,0.235955,0.495787,0.741573,0.998596,0.271449,0.171589,0.241913,0.319269,751.40448,553.370789,446.629211,561.797729,188.20224,188.20224,272.471924,279.494385,280.898865,165.730331,127.80899,92.696632,143.258423,78.651688,96.91011,182.584274,144.662918,136.235962,414.325836,146.067413,136.235962,51.966293,146.067413,42.13483,51.966293,130.617981,141.853928,153.08989,126.404495,141.853928,137.640442,126.404495,39.325844,82.865166,50.561798,56.179775,43.539326,28.089888,35.112358,32.303371,25.280899,88.483147,26.685392,28.089888,50.561798,21.067415,44.943821,18.258427,14.044944,36.516853,21.067415,40.730335,101.123596,63.202248,28.089888,5.617978,89.887642,42.13483,50.561798,74.438202,29.494383,39.325844,39.325844,4.213483,67.415733,26.685392,42.13483,40.730335,42.13483
20,ENST00000451786.5,0.756348,0.357306,0.000285,0.259058,0.526391,0.775464,1.0,0.524108,0.475892,0.509989,0.000285,0.307275,0.596006,0.806562,0.999715,0.000571,0.212553,0.410556,0.649073,1.0,0.264555,0.223459,0.244863,0.265126,756.348083,524.108398,475.891571,577.460754,178.60199,178.60199,269.04422,255.064194,254.778885,220.827393,124.96434,118.972893,139.514984,104.422256,106.134094,148.930099,138.659058,116.119827,444.222534,132.952927,129.814545,48.787445,133.238235,45.363766,48.787445,155.492157,113.552071,142.082733,112.696152,113.552071,141.226822,112.696152,108.131241,72.182594,54.778889,61.626247,41.369473,21.968616,50.499287,31.383738,36.804565,70.756065,36.804565,31.954351,39.94294,21.398003,56.205421,15.977176,32.239658,37.660484,32.524963,53.352352,60.199715,67.617691,27.674751,10.556348,74.46505,35.378033,39.087017,55.064194,33.095577,50.499287,36.519257,7.703281,58.487873,19.686163,37.945793,34.52211,33.951496
