,B,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
10,hsa.miR.20b.5p,0.782609,0.454545,0.043478,0.173913,0.478261,0.782609,1.0,0.318182,0.318182,0.227273,0.272727,782.608704,521.739136,217.391312,217.391312,130.434784,173.91304,173.91304,130.434784,86.95652,173.91304,130.434784,86.95652,260.869568,217.391312,217.391312,0.0,217.391312,0.0,0.0,43.47826,86.95652,43.47826,43.47826,43.47826,130.434784,43.47826,0.0,43.47826,0.0,86.95652,43.47826,0.0,86.95652,43.47826,0.0,86.95652,0.0,43.47826,86.95652,86.95652,0.0,0.0,0.0,86.95652,43.47826,43.47826,0.0,86.95652,0.0,86.95652,43.47826,43.47826,0.0,43.47826,0.0
11,hsa.miR.876.5p,0.590909,0.428571,0.090909,0.181818,0.636364,0.863636,1.0,0.238095,0.333333,0.238095,0.095238,590.909119,363.636353,181.818176,227.27272,181.818176,90.909088,45.454544,227.27272,136.363632,0.0,90.909088,90.909088,227.27272,90.909088,90.909088,90.909088,136.363632,90.909088,90.909088,90.909088,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,0.0,0.0,0.0,45.454544,45.454544,90.909088,90.909088,0.0,90.909088,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,45.454544,45.454544,0.0,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544
12,hsa.miR.544a,0.545455,0.380952,0.045455,0.272727,0.636364,0.772727,1.0,0.190476,0.238095,0.285714,0.190476,545.454529,318.181824,181.818176,181.818176,90.909088,90.909088,90.909088,136.363632,136.363632,90.909088,136.363632,90.909088,227.27272,90.909088,45.454544,136.363632,90.909088,45.454544,136.363632,90.909088,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,0.0,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,90.909088,45.454544,45.454544,0.0,90.909088,45.454544,45.454544,45.454544,0.0,0.0,45.454544,45.454544,136.363632,45.454544,90.909088,0.0,0.0,0.0,0.0
13,hsa.miR.24.3p,0.818182,0.238095,0.090909,0.272727,0.590909,0.818182,1.0,0.47619,0.238095,0.142857,0.333333,818.181824,681.818176,90.909088,136.363632,227.27272,90.909088,227.27272,136.363632,45.454544,181.818176,90.909088,136.363632,545.454529,90.909088,45.454544,45.454544,136.363632,0.0,45.454544,90.909088,45.454544,181.818176,45.454544,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,45.454544,0.0,181.818176,45.454544,0.0,0.0,45.454544,45.454544,45.454544,90.909088,0.0,0.0,45.454544,0.0,90.909088,45.454544,0.0,0.0,90.909088
14,hsa.miR.3619.5p,0.863636,0.238095,0.090909,0.272727,0.5,0.727273,1.0,0.380952,0.238095,0.095238,0.428571,863.636353,727.272705,90.909088,136.363632,181.818176,90.909088,181.818176,136.363632,45.454544,181.818176,45.454544,227.27272,590.909119,90.909088,90.909088,0.0,136.363632,0.0,0.0,136.363632,90.909088,181.818176,0.0,0.0,90.909088,0.0,0.0,181.818176,0.0,0.0,0.0,0.0,90.909088,45.454544,0.0,0.0,0.0,0.0,181.818176,0.0,0.0,45.454544,90.909088,0.0,90.909088,45.454544,0.0,0.0,0.0,45.454544,136.363632,45.454544,0.0,0.0,90.909088
15,hsa.miR.148b.3p,0.681818,0.380952,0.090909,0.272727,0.5,0.636364,0.954545,0.428571,0.333333,0.190476,0.190476,681.818176,500.0,181.818176,181.818176,227.27272,136.363632,181.818176,181.818176,90.909088,90.909088,90.909088,90.909088,363.636353,136.363632,90.909088,45.454544,136.363632,45.454544,45.454544,45.454544,0.0,136.363632,45.454544,45.454544,45.454544,0.0,45.454544,0.0,90.909088,90.909088,45.454544,45.454544,45.454544,90.909088,45.454544,0.0,45.454544,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,45.454544,0.0,90.909088,0.0,0.0,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0
16,hsa.miR.199b.5p,0.608696,0.545455,0.043478,0.173913,0.478261,0.608696,1.0,0.227273,0.409091,0.318182,0.136364,608.695679,304.347839,260.869568,260.869568,86.95652,217.391312,130.434784,173.91304,130.434784,86.95652,173.91304,43.47826,217.391312,86.95652,173.91304,86.95652,43.47826,173.91304,86.95652,43.47826,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,0.0,43.47826,86.95652,0.0,43.47826,0.0,0.0,130.434784,43.47826,43.47826,43.47826,43.47826,86.95652,0.0,43.47826,43.47826,43.47826,0.0,0.0,86.95652,43.47826,86.95652,0.0,43.47826,0.0,0.0,0.0,0.0
17,hsa.miR.29b.3p,0.652174,0.363636,0.086957,0.217391,0.521739,0.652174,0.913043,0.318182,0.227273,0.181818,0.181818,652.173889,478.260864,173.91304,173.91304,173.91304,86.95652,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,347.82608,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,0.0,86.95652,43.47826,43.47826,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,43.47826,0.0,43.47826,86.95652,0.0,0.0,0.0,0.0
18,hsa.miR.26b.5p,0.666667,0.4,0.142857,0.285714,0.571429,0.714286,0.952381,0.3,0.2,0.3,0.2,666.666687,476.190491,190.476196,190.476196,142.857147,95.238098,142.857147,95.238098,95.238098,142.857147,190.476196,47.619049,285.714294,190.476196,95.238098,47.619049,190.476196,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,47.619049,0.0,47.619049,0.0,95.238098,0.0,47.619049,47.619049,0.0,0.0,95.238098,0.0,47.619049,95.238098,47.619049,95.238098,47.619049,47.619049,0.0,0.0,47.619049,95.238098,142.857147,0.0,47.619049,95.238098,0.0,0.0,47.619049,0.0,47.619049,47.619049
19,hsa.miR.544a,0.545455,0.380952,0.045455,0.272727,0.636364,0.772727,1.0,0.190476,0.238095,0.285714,0.190476,545.454529,318.181824,181.818176,181.818176,90.909088,90.909088,90.909088,136.363632,136.363632,90.909088,136.363632,90.909088,227.27272,90.909088,45.454544,136.363632,90.909088,45.454544,136.363632,90.909088,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,0.0,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,90.909088,45.454544,45.454544,0.0,90.909088,45.454544,45.454544,45.454544,0.0,0.0,45.454544,45.454544,136.363632,45.454544,90.909088,0.0,0.0,0.0,0.0
20,hsa.miR.450a.5p,0.5,0.571429,0.227273,0.318182,0.545455,0.727273,0.954545,0.047619,0.333333,0.333333,0.142857,500.0,227.27272,272.727264,272.727264,45.454544,136.363632,0.0,181.818176,181.818176,45.454544,136.363632,90.909088,90.909088,136.363632,181.818176,45.454544,136.363632,136.363632,90.909088,45.454544,45.454544,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,0.0,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,90.909088,90.909088,0.0,90.909088,0.0,45.454544,45.454544,0.0,0.0,90.909088,45.454544,0.0,45.454544,45.454544,0.0,45.454544,45.454544,0.0,0.0
21,hsa.miR.429,0.681818,0.571429,0.090909,0.272727,0.590909,0.772727,0.954545,0.095238,0.380952,0.333333,0.047619,681.818176,409.090912,272.727264,272.727264,0.0,227.27272,90.909088,136.363632,136.363632,45.454544,181.818176,0.0,227.27272,181.818176,227.27272,0.0,181.818176,90.909088,0.0,0.0,90.909088,0.0,0.0,0.0,136.363632,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,0.0,90.909088,45.454544,0.0,90.909088,45.454544,45.454544,0.0,90.909088,0.0,45.454544,0.0,136.363632,45.454544,0.0,0.0,0.0,0.0,0.0,0.0,90.909088,0.0
22,hsa.miR.122.5p,0.636364,0.52381,0.090909,0.227273,0.454545,0.590909,1.0,0.238095,0.47619,0.047619,0.142857,636.363647,363.636353,227.27272,272.727264,136.363632,181.818176,90.909088,272.727264,45.454544,45.454544,0.0,90.909088,227.27272,136.363632,181.818176,45.454544,136.363632,90.909088,45.454544,45.454544,45.454544,90.909088,45.454544,0.0,136.363632,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,45.454544,90.909088,0.0,45.454544,45.454544,0.0,0.0,0.0,45.454544,0.0,45.454544,0.0,0.0,0.0,0.0,0.0,45.454544,45.454544,0.0,45.454544,0.0,45.454544
23,hsa.miR.302a.3p,0.565217,0.5,0.086957,0.173913,0.434783,0.826087,1.0,0.136364,0.409091,0.181818,0.136364,565.217407,304.347839,217.391312,260.869568,86.95652,173.91304,43.47826,217.391312,86.95652,43.47826,86.95652,86.95652,86.95652,173.91304,130.434784,86.95652,217.391312,43.47826,86.95652,43.47826,86.95652,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,43.47826,43.47826,130.434784,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,86.95652,0.0,0.0,43.47826,86.95652,0.0,43.47826,0.0,0.0,0.0
24,hsa.miR.448,0.636364,0.571429,0.136364,0.318182,0.545455,0.727273,0.954545,0.190476,0.285714,0.333333,0.142857,636.363647,363.636353,272.727264,272.727264,136.363632,90.909088,45.454544,181.818176,181.818176,45.454544,136.363632,90.909088,227.27272,136.363632,227.27272,0.0,136.363632,136.363632,45.454544,136.363632,0.0,0.0,0.0,136.363632,45.454544,45.454544,0.0,45.454544,0.0,0.0,0.0,90.909088,90.909088,0.0,90.909088,45.454544,45.454544,90.909088,0.0,45.454544,0.0,90.909088,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,45.454544,0.0,90.909088,45.454544
25,hsa.miR.490.3p,0.818182,0.380952,0.045455,0.181818,0.454545,0.727273,1.0,0.333333,0.333333,0.238095,0.190476,818.181824,590.909119,181.818176,181.818176,181.818176,136.363632,136.363632,181.818176,181.818176,45.454544,45.454544,136.363632,409.090912,181.818176,181.818176,0.0,136.363632,0.0,0.0,136.363632,90.909088,90.909088,45.454544,45.454544,136.363632,0.0,0.0,90.909088,0.0,45.454544,45.454544,45.454544,136.363632,0.0,0.0,0.0,0.0,136.363632,0.0,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,0.0,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,90.909088
26,hsa.miR.302d.3p,0.565217,0.545455,0.086957,0.173913,0.434783,0.782609,0.956522,0.181818,0.454545,0.181818,0.181818,565.217407,304.347839,260.869568,260.869568,86.95652,217.391312,86.95652,217.391312,86.95652,86.95652,86.95652,86.95652,130.434784,173.91304,130.434784,86.95652,173.91304,86.95652,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,86.95652,43.47826,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,0.0,86.95652,0.0,86.95652,0.0,0.0,43.47826,86.95652,0.0,43.47826,43.47826,0.0,0.0
27,hsa.miR.149.5p,0.652174,0.590909,0.086957,0.26087,0.521739,0.782609,1.0,0.090909,0.590909,0.409091,0.090909,652.173889,347.82608,260.869568,304.347839,43.47826,260.869568,43.47826,304.347839,173.91304,43.47826,217.391312,43.47826,173.91304,130.434784,217.391312,43.47826,173.91304,130.434784,43.47826,0.0,86.95652,43.47826,0.0,0.0,217.391312,0.0,43.47826,0.0,0.0,43.47826,0.0,0.0,130.434784,43.47826,130.434784,0.0,43.47826,43.47826,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,0.0,130.434784,86.95652,0.0,43.47826,0.0,0.0,43.47826,0.0,43.47826,43.47826
28,hsa.miR.491.5p,0.818182,0.285714,0.045455,0.227273,0.454545,0.772727,1.0,0.285714,0.238095,0.142857,0.190476,818.181824,636.363647,136.363632,136.363632,136.363632,90.909088,136.363632,136.363632,90.909088,90.909088,45.454544,90.909088,454.545441,136.363632,90.909088,45.454544,136.363632,0.0,45.454544,90.909088,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,45.454544,45.454544,45.454544,90.909088,45.454544,0.0,0.0,45.454544,90.909088,0.0,0.0,45.454544,45.454544,0.0,45.454544,45.454544,45.454544,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,0.0,45.454544
29,hsa.miR.155.5p,0.625,0.521739,0.125,0.291667,0.541667,0.75,0.916667,0.086957,0.26087,0.347826,0.173913,625.0,375.0,250.0,250.0,41.666668,125.0,41.666668,125.0,166.666672,83.333336,166.666672,83.333336,125.0,250.0,208.333328,41.666668,250.0,0.0,41.666668,0.0,125.0,0.0,0.0,41.666668,41.666668,41.666668,41.666668,41.666668,0.0,0.0,0.0,83.333336,83.333336,41.666668,0.0,41.666668,0.0,83.333336,0.0,125.0,0.0,41.666668,0.0,41.666668,41.666668,83.333336,0.0,83.333336,41.666668,83.333336,0.0,83.333336,0.0,0.0,0.0
30,hsa.miR.122.5p,0.636364,0.52381,0.090909,0.227273,0.454545,0.590909,1.0,0.238095,0.47619,0.047619,0.142857,636.363647,363.636353,227.27272,272.727264,136.363632,181.818176,90.909088,272.727264,45.454544,45.454544,0.0,90.909088,227.27272,136.363632,181.818176,45.454544,136.363632,90.909088,45.454544,45.454544,45.454544,90.909088,45.454544,0.0,136.363632,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,45.454544,90.909088,0.0,45.454544,45.454544,0.0,0.0,0.0,45.454544,0.0,45.454544,0.0,0.0,0.0,0.0,0.0,45.454544,45.454544,0.0,45.454544,0.0,45.454544
31,hsa.miR.302a.3p,0.565217,0.5,0.086957,0.173913,0.434783,0.826087,1.0,0.136364,0.409091,0.181818,0.136364,565.217407,304.347839,217.391312,260.869568,86.95652,173.91304,43.47826,217.391312,86.95652,43.47826,86.95652,86.95652,86.95652,173.91304,130.434784,86.95652,217.391312,43.47826,86.95652,43.47826,86.95652,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,43.47826,43.47826,130.434784,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,86.95652,0.0,0.0,43.47826,86.95652,0.0,43.47826,0.0,0.0,0.0
32,hsa.miR.302a.3p,0.565217,0.5,0.086957,0.173913,0.434783,0.826087,1.0,0.136364,0.409091,0.181818,0.136364,565.217407,304.347839,217.391312,260.869568,86.95652,173.91304,43.47826,217.391312,86.95652,43.47826,86.95652,86.95652,86.95652,173.91304,130.434784,86.95652,217.391312,43.47826,86.95652,43.47826,86.95652,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,43.47826,43.47826,130.434784,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,86.95652,0.0,0.0,43.47826,86.95652,0.0,43.47826,0.0,0.0,0.0
33,hsa.miR.302d.3p,0.565217,0.545455,0.086957,0.173913,0.434783,0.782609,0.956522,0.181818,0.454545,0.181818,0.181818,565.217407,304.347839,260.869568,260.869568,86.95652,217.391312,86.95652,217.391312,86.95652,86.95652,86.95652,86.95652,130.434784,173.91304,130.434784,86.95652,173.91304,86.95652,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,86.95652,43.47826,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,0.0,86.95652,0.0,86.95652,0.0,0.0,43.47826,86.95652,0.0,43.47826,43.47826,0.0,0.0
