,A,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
13,ENST00000517774.1,0.521042,0.478958,0.437751,0.004008,0.278557,0.486974,0.751503,0.995992,0.002004,0.220441,0.511022,0.747495,1.0,521.042114,478.957916,302.605225,218.436874,218.436874,258.517029,156.312622,146.292587,90.180359,128.256516,146.292587,72.144287,126.252502,130.260529
14,ENST00000454129.5,0.494022,0.505978,0.44111,0.000451,0.253778,0.496278,0.745996,1.0,0.000226,0.245432,0.502369,0.754342,0.998872,494.022095,505.977905,273.404022,220.392517,220.618088,285.359802,150.462448,122.715996,97.9021,122.49041,122.941574,97.676514,122.49041,162.869385
15,ENST00000602498.1,0.437309,0.562691,0.490798,0.003058,0.287462,0.541284,0.767584,1.0,0.009174,0.217125,0.474006,0.727829,0.996942,437.308868,562.691101,189.602448,244.648315,244.648315,318.042816,70.336388,119.266052,110.091743,134.55658,116.207954,125.382263,134.55658,183.486237
16,ENST00000476405.1,0.501617,0.498383,0.463832,0.000231,0.25,0.508087,0.753235,0.999769,0.000462,0.249769,0.493068,0.745148,1.0,501.617371,498.382629,269.639557,231.977814,231.746765,266.404816,138.632156,131.007401,103.974121,127.772644,131.007401,100.739372,127.772644,138.632156
17,ENST00000411861.5,0.510446,0.489554,0.466667,0.000565,0.267081,0.541502,0.743083,1.0,0.001129,0.236025,0.459627,0.762281,0.998306,510.446075,489.553925,276.67984,233.201584,233.201584,256.352356,145.680405,130.434784,105.025406,128.176178,130.999435,102.202148,128.176178,128.176178
18,ENST00000560706.5,0.501057,0.498943,0.463983,0.002114,0.255814,0.484144,0.750529,0.987315,0.006342,0.224101,0.511628,0.748414,1.0,501.057068,498.942932,268.498932,232.558136,230.44397,266.384766,154.334045,114.164902,112.050743,120.507401,112.050743,118.393234,118.393234,145.87738
19,ENST00000449589.5,0.485955,0.514045,0.443038,0.001404,0.273876,0.502809,0.776685,0.998596,0.002809,0.228933,0.495787,0.72191,1.0,485.955048,514.044922,264.044952,221.91011,220.505615,292.134827,134.831467,129.213486,87.078651,133.426971,129.213486,91.292137,133.426971,158.70787
20,ENST00000451786.5,0.499572,0.500428,0.488014,0.000285,0.245934,0.489872,0.747789,1.0,0.000571,0.253352,0.508702,0.753495,0.999715,499.572052,500.427948,255.349503,243.937225,243.937225,256.490723,123.823112,131.526398,116.975746,126.961487,131.526398,112.125534,126.961487,129.529251
21,ENST00000499180.2,0.574572,0.425428,0.460784,0.00978,0.251834,0.471883,0.738386,0.99511,0.002445,0.249389,0.518337,0.757946,1.0,574.572144,425.427887,344.743286,229.828857,229.828857,193.154037,205.378967,139.364304,110.024452,119.804398,139.364304,90.464546,119.804398,70.904648
22,ENST00000515108.1,0.541646,0.458354,0.475549,0.000998,0.24389,0.477307,0.75611,1.0,0.000499,0.25985,0.519202,0.744638,0.999501,541.645874,458.354126,303.740662,237.406479,237.905243,220.448883,175.561096,128.17955,130.673309,106.73317,128.17955,109.226936,106.73317,113.715714
23,ENST00000508913.5,0.53743,0.46257,0.476623,0.000865,0.240156,0.482908,0.756815,1.0,0.000433,0.264388,0.513198,0.746863,0.999567,537.429688,462.570312,299.004761,237.992218,238.424927,224.145386,171.354385,127.650368,128.083084,109.909134,127.650368,110.341843,109.909134,114.236259
24,ENST00000426529.6,0.507933,0.492067,0.456484,0.000248,0.244175,0.49182,0.738969,0.999504,0.000992,0.256073,0.507189,0.760288,1.0,507.932587,492.067413,279.623199,228.309372,228.061478,263.758057,154.437286,125.185921,107.585526,120.723846,124.938026,103.123451,120.475952,143.03421
25,ENST00000382215.3,0.512943,0.487057,0.480576,0.000479,0.243528,0.477469,0.74209,1.0,0.000959,0.255992,0.523969,0.755992,0.999521,512.94342,487.05658,272.291473,240.172577,240.172577,246.883987,144.295303,127.996162,118.40844,121.764145,127.996162,111.697029,121.764145,125.11985
26,ENST00000501008.2,0.484721,0.515279,0.502899,0.000527,0.241834,0.505796,0.75079,1.0,0.001054,0.261328,0.493151,0.74921,0.999473,484.720764,515.279236,232.876709,251.317169,251.317169,263.962067,111.169655,121.707062,123.814545,127.502632,121.707062,129.083252,127.502632,136.459427
27,ENST00000438608.5,0.544762,0.455238,0.456107,0.007619,0.272381,0.497143,0.76381,1.0,0.001905,0.238095,0.504762,0.727619,0.99619,544.761902,455.238098,316.190491,226.666672,228.571426,226.666672,184.761902,129.523804,108.571426,118.095238,131.428574,97.14286,120.0,106.666664
28,ENST00000398461.5,0.500579,0.499421,0.447407,0.00029,0.246234,0.499421,0.758401,1.0,0.000869,0.252317,0.501448,0.741309,0.999131,500.579376,499.420624,276.651215,223.638474,223.638474,275.782166,152.954803,123.406723,98.203941,125.434532,123.406723,100.23175,125.434532,150.347626
29,ENST00000590274.1,0.471264,0.528736,0.453947,0.004926,0.244663,0.454844,0.71757,0.995074,0.001642,0.270936,0.536946,0.779967,1.0,471.264374,528.735657,244.663376,226.600983,226.600983,300.492615,123.15271,121.510674,103.448273,123.15271,121.510674,105.090309,123.15271,175.697861
30,ENST00000413421.5,0.476998,0.523002,0.469091,0.001211,0.262712,0.509685,0.748184,0.998789,0.004843,0.233656,0.492736,0.753027,1.0,476.997589,523.002441,242.130753,234.866821,233.656174,288.13559,115.012108,127.118645,106.537529,127.118645,125.90799,107.748184,127.118645,161.016953
31,ENST00000517675.1,0.478404,0.521596,0.472247,0.0003,0.270846,0.5,0.758248,1.0,0.0009,0.232454,0.5003,0.743251,0.9985,478.404327,521.595703,242.05159,236.052795,236.052795,285.542877,119.076187,122.675468,101.379723,134.673065,122.675468,113.377327,134.673065,150.869827
32,ENST00000602618.1,0.481876,0.518124,0.42735,0.002132,0.191898,0.503198,0.739872,1.0,0.006397,0.289979,0.498934,0.752665,0.993603,481.876343,518.123657,266.524506,213.21962,213.21962,304.904053,130.063965,134.328354,89.552238,123.667374,134.328354,78.891258,123.667374,181.236679
33,ENST00000577163.1,0.496552,0.503448,0.474957,0.001724,0.25,0.465517,0.718966,0.996552,0.003448,0.246552,0.541379,0.775862,1.0,496.551727,503.448273,258.620697,237.93103,236.206894,265.517242,134.482758,124.137932,115.517242,122.413795,124.137932,112.068962,120.689651,143.103455
34,ENST00000487102.5,0.51774,0.48226,0.461842,0.003942,0.257556,0.496715,0.735874,1.0,0.001314,0.231275,0.501971,0.771353,0.997372,517.739807,482.260193,286.465179,229.960571,231.274643,250.98555,159.001312,126.149803,106.438896,123.521683,127.46386,103.810776,124.835739,126.149803
35,ENST00000541775.5,0.497344,0.502656,0.472586,0.000379,0.238998,0.488809,0.749052,1.0,0.00019,0.260622,0.507967,0.751897,0.999241,497.344452,502.655548,261.001526,236.153259,236.342941,266.312592,134.48407,126.327766,112.860397,123.29287,126.517448,109.825493,123.29287,143.01973
36,ENST00000409898.2,0.523214,0.476786,0.456172,0.001786,0.283929,0.5,0.757143,0.998214,0.003571,0.208929,0.498214,0.739286,1.0,523.214294,476.785706,294.642853,228.571426,226.785721,248.214279,157.142853,137.5,105.35714,121.428574,137.5,89.285713,121.428574,126.785713
37,ENST00000577661.1,0.55205,0.44795,0.475513,0.003155,0.239748,0.5,0.787066,1.0,0.001577,0.26183,0.495268,0.716088,0.996845,552.050476,447.949524,313.880127,236.593063,238.170349,209.779175,176.656158,135.646683,130.914825,105.67823,137.223969,100.946373,105.67823,104.100945
38,ENST00000547799.5,0.499545,0.500455,0.463008,0.001212,0.251591,0.483783,0.74174,1.0,0.000303,0.247045,0.515914,0.764474,0.999697,499.545319,500.454681,267.959991,231.282211,231.585327,268.869354,139.739319,128.220673,109.123978,122.158226,128.220673,103.061531,122.461349,146.408005
39,ENST00000458228.5,0.485339,0.514661,0.448213,0.000611,0.251374,0.508247,0.760843,1.0,0.000305,0.248626,0.486866,0.739157,0.998167,485.33902,514.66095,261.148438,223.885162,224.190598,290.470367,146.304214,114.538788,97.434334,126.450821,114.844231,109.346367,126.450821,164.019547
