,A,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
13,ENST00000517774.1,0.847695,0.263052,0.002004,0.240481,0.490982,0.737475,0.995992,0.210843,0.253012,0.154618,0.283133,847.695374,715.430847,132.264526,130.260529,110.220444,122.244492,100.200401,130.260529,88.176353,130.260529,66.132263,152.304611,611.222473,104.20842,116.232468,16.032064,102.204407,28.056112,14.028056,86.172348,78.156311,88.176353,16.032064,6.012024,108.216431,0.0,14.028056,76.152306,8.016032,16.032064,12.024048,8.016032,88.176353,14.028056,28.056112,0.0,14.028056,54.108215,92.184372,34.068138,14.028056,40.080162,56.112225,14.028056,60.120239,46.092186,18.036072,2.004008,10.020041,32.064129,100.200401,16.032064,36.072144,22.044088,62.124249
14,ENST00000454129.5,0.709226,0.390343,0.000226,0.236634,0.480262,0.737198,1.0,0.250677,0.277527,0.255641,0.185469,709.226257,513.87323,195.127457,195.127457,131.288071,132.867126,119.332283,144.597336,142.115952,78.276566,113.467178,107.150917,373.110748,140.53688,137.604324,57.523121,140.53688,54.590572,57.523121,55.492893,55.944057,65.418449,35.641777,30.227837,75.344009,20.979021,36.544102,46.018497,38.348747,34.965034,32.483646,27.972029,65.192871,37.446426,41.958042,21.430183,41.2813,80.532372,42.183624,58.199863,41.958042,41.958042,39.702232,18.497631,20.076698,64.29055,33.837132,15.339499,35.867359,40.153397,58.651028,27.746447,20.753441,19.399956,27.069704
15,ENST00000602498.1,0.672783,0.441718,0.003058,0.256881,0.489297,0.75841,1.0,0.208589,0.352761,0.285276,0.205521,672.782898,449.54129,220.183487,220.183487,107.033638,174.31192,100.917435,177.370026,171.25383,73.394493,113.149849,131.498474,305.810394,143.730881,159.021408,61.162079,140.672775,76.452599,61.162079,51.987766,73.394493,55.045872,21.406729,30.581039,103.975533,15.29052,55.045872,45.871559,21.406729,33.639145,18.348623,24.464832,76.452599,33.639145,67.27829,27.522936,48.929665,76.452599,42.813457,67.27829,42.813457,61.162079,42.813457,6.116208,24.464832,48.929665,45.871559,15.29052,36.697247,55.045872,67.27829,48.929665,15.29052,9.174312,33.639145
16,ENST00000476405.1,0.78073,0.326554,0.000231,0.248614,0.49353,0.74561,0.999769,0.273631,0.26924,0.201063,0.262769,780.730103,617.375244,163.354904,163.12384,142.329025,129.158966,131.238449,140.018478,116.451019,115.526802,84.56562,147.181152,492.375244,125.0,127.772644,35.3512,125.0,38.123844,35.3512,79.251389,71.395561,94.038818,25.415897,22.874308,90.110909,11.090573,27.957485,73.7061,33.733826,23.798521,27.033272,21.950092,76.940849,29.343807,33.733826,10.166359,27.957485,61.691311,69.316078,44.824398,26.340111,45.055454,59.149723,18.253235,38.123844,53.835491,21.950092,8.780037,23.567467,36.50647,77.171906,32.57856,37.430683,16.173752,51.524952
17,ENST00000411861.5,0.828346,0.270056,0.000565,0.232637,0.468097,0.719368,1.0,0.29209,0.229944,0.167797,0.29887,828.345581,692.828918,134.952011,134.952011,151.326935,109.542633,140.598526,120.271034,94.297005,138.904572,73.404854,159.796722,585.544861,106.719368,110.107285,24.844721,107.284019,27.667984,24.844721,90.909088,66.064369,112.365898,22.586109,16.374929,80.180687,9.599096,19.762846,90.909088,31.055901,18.633541,18.068888,19.198193,66.064369,29.361942,24.844721,10.16375,20.892151,53.64201,76.79277,41.21965,19.198193,33.879166,63.805759,16.374929,58.723885,42.913609,18.633541,11.857708,16.939583,30.491247,88.085831,21.456804,50.254093,15.245624,65.499718
18,ENST00000560706.5,0.773784,0.332627,0.002114,0.224101,0.463002,0.739958,0.997886,0.25,0.258475,0.209746,0.254237,773.784363,606.76532,167.019028,164.904861,124.735733,128.964066,124.735733,128.964066,114.164902,118.393234,95.137421,135.306549,490.486267,116.279068,122.621567,42.283298,114.164902,50.739956,42.283298,65.539108,63.424946,69.767441,35.940804,19.027485,78.224098,16.913319,31.712473,61.310783,35.940804,27.484144,38.05497,21.141649,67.653275,23.255814,38.05497,16.913319,29.598309,57.082451,57.082451,57.082451,29.598309,27.484144,54.968288,23.255814,40.169132,48.625793,33.826637,12.684989,25.369978,27.484144,63.424946,23.255814,48.625793,12.684989,52.854122
19,ENST00000449589.5,0.734551,0.369902,0.001404,0.25,0.498596,0.759831,0.998596,0.295359,0.265823,0.218003,0.225035,734.550537,549.157288,185.393265,183.98877,147.471909,133.426971,147.471909,132.022476,125.0,96.91011,92.696632,127.80899,400.280884,148.876404,127.80899,56.179775,148.876404,35.112358,56.179775,64.606743,61.797752,75.842697,43.539326,28.089888,61.797752,25.280899,44.943821,60.393257,42.13483,44.943821,49.157303,35.112358,66.011238,40.730335,25.280899,22.47191,35.112358,70.224716,58.988766,40.730335,35.112358,47.752808,46.348316,26.685392,23.876404,56.179775,21.067415,15.449438,32.303371,49.157303,73.033707,32.303371,22.47191,19.662922,32.303371
20,ENST00000451786.5,0.743224,0.359589,0.000285,0.236805,0.467903,0.714693,1.0,0.264269,0.245719,0.245148,0.242865,743.223938,563.195435,179.743225,179.743225,133.523544,121.255348,130.670471,124.393723,133.238235,110.699005,111.840225,132.097,433.38089,129.814545,130.95578,48.787445,129.529251,49.928673,48.787445,58.487873,54.208275,72.182594,35.378033,25.96291,69.04422,22.253923,29.957205,62.48217,37.375179,30.813124,35.663338,23.395149,50.213982,37.660484,36.233952,22.53923,31.954351,67.332382,64.194008,57.917259,35.948647,39.372326,59.058487,19.686163,31.954351,62.767475,34.52211,14.265335,33.666191,35.663338,68.758919,31.383738,31.954351,20.256777,37.375179
21,ENST00000499180.2,0.772616,0.323529,0.002445,0.259169,0.486553,0.745721,1.0,0.32598,0.218137,0.237745,0.223039,772.61615,608.801941,161.369186,161.369186,166.259171,105.134476,158.92421,112.469437,134.474335,95.354523,102.689484,127.139366,498.777496,107.57946,112.469437,48.899757,110.024452,51.344742,48.899757,70.904648,24.449879,63.569683,68.459656,34.229828,61.124695,17.114914,26.894865,53.78973,66.014671,39.119804,80.684593,17.114914,44.009781,29.339853,39.119804,14.669927,34.229828,61.124695,78.239609,51.344742,41.564793,41.564793,58.679707,14.669927,22.00489,56.234718,41.564793,4.889976,44.009781,34.229828,83.129585,31.784842,12.224939,7.334963,34.229828
22,ENST00000515108.1,0.814464,0.278443,0.000499,0.233915,0.473815,0.728678,1.0,0.290419,0.225549,0.174152,0.301397,814.463867,674.812988,139.152115,139.152115,151.620941,106.234413,138.653366,119.201996,98.75312,138.653366,75.311722,162.593521,564.588501,110.224442,111.221947,27.930174,109.725685,28.927681,27.930174,82.294266,54.36409,87.281799,44.389027,19.950125,74.314217,11.970075,19.950125,68.827927,44.389027,25.436409,40.399002,19.950125,67.331673,24.937656,26.433916,10.972569,24.937656,47.880299,80.299255,43.890274,22.44389,32.418953,86.783043,19.451372,32.418953,42.394016,17.45636,14.962593,15.9601,33.915211,85.785538,33.416458,43.391521,15.461347,41.396507
23,ENST00000508913.5,0.805712,0.290909,0.000433,0.230636,0.46733,0.729987,1.0,0.283983,0.236364,0.186147,0.290476,805.711792,659.887512,145.391602,145.391602,147.555176,112.505409,136.304626,123.755951,104.283859,133.708359,81.782776,156.642151,546.516663,113.370834,114.668976,30.722631,112.938126,32.020771,30.722631,79.619209,58.848984,85.244484,41.540459,20.770229,77.022934,12.54868,22.933794,69.666809,41.973171,24.664648,39.376892,19.47209,68.368675,25.962786,28.991779,11.683254,27.260925,49.329296,78.321075,47.16573,24.231934,32.886196,80.917351,18.17395,34.61705,45.434875,20.337517,15.577672,17.741238,34.184338,82.215492,34.61705,39.809605,16.875811,41.107746
24,ENST00000426529.6,0.736738,0.368956,0.000248,0.235002,0.488101,0.740704,1.0,0.285643,0.256881,0.242747,0.213737,736.737732,552.057495,184.432327,184.432327,151.710464,119.484383,133.862167,137.332672,133.614273,94.695091,109.072884,118.988594,422.409515,129.400101,136.093201,48.339119,129.400101,55.032227,48.339119,56.767475,49.082798,75.855232,45.364403,30.490828,69.9058,20.327219,29.251364,53.544868,53.792763,26.524542,38.423401,34.9529,52.305405,41.150223,43.877045,19.58354,32.473972,72.384727,52.801189,54.784332,34.9529,43.877045,52.801189,18.344076,23.549826,61.47744,33.713436,13.882003,32.473972,34.209221,63.460587,27.516113,28.011898,21.814575,31.978186
25,ENST00000382215.3,0.789549,0.321343,0.000479,0.25024,0.509108,0.751198,1.0,0.304077,0.247002,0.21295,0.267626,789.549377,628.475525,160.594437,160.594437,159.156281,116.011505,144.774689,130.872482,123.202301,116.970276,89.645256,150.527328,502.876312,125.599236,127.996162,32.598274,125.11985,34.995205,32.598274,77.181206,63.758389,95.397888,38.830296,24.928093,77.660591,17.25791,21.093,73.346115,47.938637,23.489933,34.51582,26.366251,67.593483,34.036434,28.763184,14.381592,26.845638,62.320229,65.675934,55.608822,26.366251,41.22723,62.799618,14.860978,39.309685,53.211887,25.407478,10.5465,18.69607,36.91275,74.784279,35.474594,40.268456,15.340364,50.814957
26,ENST00000501008.2,0.778188,0.311017,0.000527,0.23235,0.476291,0.730769,1.0,0.278334,0.226147,0.196626,0.306273,778.187561,622.233948,155.426758,155.426758,140.147522,112.223396,138.040039,113.804001,105.900948,145.416229,90.621704,160.695465,501.053741,121.180191,111.696526,43.730244,121.180191,33.719704,43.730244,67.439407,54.267651,82.718651,34.246574,23.182297,66.912537,14.752371,30.558483,60.063225,47.418335,30.558483,38.46154,16.859852,61.643837,25.28978,26.87039,16.859852,30.031612,51.106426,70.600632,43.203373,31.085354,31.612223,80.611168,23.182297,41.622761,52.160168,18.967335,18.967335,30.031612,32.665966,69.54689,35.300316,55.848263,17.386723,47.418335
27,ENST00000438608.5,0.805714,0.318702,0.00381,0.257143,0.500952,0.750476,1.0,0.322519,0.25,0.19084,0.265267,805.714294,645.714294,158.095245,160.0,173.333328,112.380951,148.571426,137.142853,123.809525,102.85714,66.666664,161.904755,514.285706,129.523804,127.619049,30.476191,131.428574,28.571428,30.476191,91.428574,62.857143,91.428574,47.619049,32.380951,72.380951,17.142857,22.857143,76.190475,49.523811,22.857143,43.809525,32.380951,78.095238,32.380951,26.666666,13.333333,30.476191,62.857143,66.666664,40.0,20.952381,62.857143,68.571426,11.428572,22.857143,43.809525,15.238095,7.619048,17.142857,47.619049,87.619049,45.714287,28.571428,9.523809,45.714287
28,ENST00000398461.5,0.764195,0.363952,0.00029,0.259849,0.517381,0.761008,1.0,0.235004,0.30397,0.229499,0.217908,764.194641,581.981445,181.923523,181.923523,122.247971,147.161072,112.688293,156.720749,130.069519,93.568947,99.362686,124.27578,444.959442,136.73233,143.395126,38.528389,136.73233,45.191193,38.528389,66.338356,77.346466,75.608345,24.913094,21.726536,102.549248,13.615295,30.996523,63.151794,21.147161,28.099653,20.278099,22.595596,80.533028,34.472771,41.714947,16.801853,31.575897,73.00116,50.405563,57.068367,25.492468,47.50869,41.135574,20.857473,31.575897,54.171494,27.520279,17.670916,24.044033,36.790268,69.235229,29.548088,25.492468,18.25029,46.349941
29,ENST00000590274.1,0.686371,0.391447,0.001642,0.211823,0.436782,0.701149,1.0,0.245066,0.287829,0.263158,0.190789,686.371094,489.326752,195.402298,195.402298,133.004929,133.004929,111.658455,154.351395,144.499176,82.101807,118.226601,108.374382,354.67981,134.646957,137.93103,57.471264,134.646957,59.1133,57.471264,50.903118,52.545155,64.039406,39.408867,29.55665,78.817734,16.420361,37.76683,45.977013,32.840721,32.840721,29.55665,32.840721,57.471264,49.261086,45.977013,18.062397,42.69294,72.249588,49.261086,60.755337,42.69294,41.050903,42.69294,18.062397,21.34647,62.397373,41.050903,14.778325,39.408867,39.408867,59.1133,31.198687,18.062397,18.062397,26.272577
30,ENST00000413421.5,0.715496,0.406061,0.001211,0.250605,0.487893,0.739709,0.998789,0.246061,0.255758,0.259394,0.209697,715.496338,512.106567,203.389832,202.179184,128.3293,122.276031,117.433411,133.171906,138.014526,96.852303,121.065376,112.590797,381.355927,130.75061,150.121063,52.058113,129.539948,72.639229,52.058113,44.794189,50.847458,47.215496,58.111382,23.00242,61.74334,30.266344,30.266344,52.058113,43.583534,21.791767,44.794189,38.740921,43.583534,39.951572,49.636803,25.423729,32.687653,69.007263,58.111382,55.690071,36.319614,44.794189,50.847458,20.581114,25.423729,59.322033,43.583534,18.159807,41.162228,32.687653,66.585953,25.423729,20.581114,24.213076,29.055691
31,ENST00000517675.1,0.743551,0.367837,0.0003,0.234553,0.479604,0.741152,1.0,0.252025,0.274827,0.232223,0.240024,743.55127,559.388123,183.86322,183.86322,129.274139,134.073181,122.675468,140.67186,131.973602,104.079185,100.179962,135.872818,430.713867,128.374329,134.673065,49.190163,128.374329,55.488903,49.190163,61.787643,68.386322,76.784645,29.394121,23.095381,81.583687,17.996401,34.493103,62.387524,37.792442,22.495501,29.994001,25.194962,67.786446,29.694061,43.19136,15.896821,33.893223,65.386925,57.288544,45.590881,38.392323,47.990402,55.788841,15.896821,32.39352,56.088783,32.693462,11.39772,34.193161,40.791843,66.586685,33.893223,35.392921,20.395922,39.292141
32,ENST00000602618.1,0.716418,0.418803,0.002132,0.236674,0.518124,0.739872,1.0,0.226496,0.339744,0.247863,0.179487,716.417908,505.330505,208.955231,208.955231,119.402985,164.179108,106.60981,174.840088,136.460556,76.759064,110.874199,102.345413,358.208954,144.989334,153.518127,55.437099,144.989334,63.965885,55.437099,44.776119,76.759064,61.833687,34.115139,21.321962,102.345413,21.321962,40.511726,46.908314,29.850746,29.850746,34.115139,23.454157,72.494667,44.776119,57.569298,10.660981,49.040512,76.759064,57.569298,59.701492,38.379532,38.379532,29.850746,23.454157,23.454157,61.833687,36.247334,12.793177,27.71855,44.776119,72.494667,23.454157,6.396588,23.454157,27.71855
