,A,TraEA: Entropy density A on transcript,TraEC: Entropy density C on transcript,TraED: Entropy density D on transcript,TraEE: Entropy density E on transcript,TraEF: Entropy density F on transcript,TraEG: Entropy density G on transcript,TraEH: Entropy density H on transcript,TraEI: Entropy density I on transcript,TraEK: Entropy density K on transcript,TraEL: Entropy density L on transcript,TraEM: Entropy density M on transcript,TraEN: Entropy density N on transcript,TraEP: Entropy density P on transcript,TraEQ: Entropy density Q on transcript,TraER: Entropy density R on transcript,TraES: Entropy density S on transcript,TraET: Entropy density T on transcript,TraEV: Entropy density V on transcript,TraEW: Entropy density W on transcript,TraEY: Entropy density Y on transcript
75,1NEM,0.0,0.0,0.0,0.159044,0.159044,0.204782,0.0,0.0,0.159044,0.159044,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.0
76,1HNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
77,1Y26,0.0,0.0,0.0,0.0,0.066564,0.102325,0.0,0.102325,0.12646,0.143045,0.066564,0.0,0.0,0.0,0.066564,0.12646,0.066564,0.066564,0.0,0.066564
78,2O3X,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0
79,1PBR,0.12923,0.0,0.0,0.12923,0.0,0.176925,0.0,0.0,0.0,0.0,0.0,0.0,0.12923,0.0,0.0,0.12923,0.12923,0.176925,0.0,0.0
80,3GX2,0.118543,0.050026,0.0,0.101601,0.0,0.118543,0.0,0.0,0.0,0.079661,0.0,0.118543,0.050026,0.0,0.131768,0.101601,0.050026,0.079661,0.0,0.0
81,1MWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
82,1Y26,0.0,0.0,0.0,0.0,0.066564,0.102325,0.0,0.102325,0.12646,0.143045,0.066564,0.0,0.0,0.0,0.066564,0.12646,0.066564,0.066564,0.0,0.066564
83,3SUX,0.044749,0.091691,0.044749,0.044749,0.044749,0.129683,0.0,0.0,0.071598,0.071598,0.0,0.0,0.044749,0.044749,0.107397,0.107397,0.107397,0.044749,0.0,0.0
84,4FE5,0.112702,0.0,0.058777,0.0,0.058777,0.058777,0.09079,0.112702,0.0,0.0,0.058777,0.0,0.058777,0.0,0.058777,0.09079,0.0,0.058777,0.09079,0.09079
85,1F1T,0.175337,0.0,0.123314,0.0,0.0,0.123314,0.0,0.0,0.0,0.123314,0.123314,0.0,0.0,0.0,0.208091,0.123314,0.0,0.0,0.0,0.0
86,2OE5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
87,1BYJ,0.12923,0.0,0.0,0.12923,0.0,0.176925,0.0,0.0,0.0,0.0,0.0,0.0,0.12923,0.0,0.0,0.12923,0.12923,0.176925,0.0,0.0
88,1FJG,0.092624,0.022941,0.038383,0.05263,0.020379,0.106265,0.030017,0.020379,0.038383,0.060318,0.020379,0.040324,0.082762,0.036386,0.101848,0.068603,0.068603,0.068603,0.025393,0.004781
89,1EHT,0.101587,0.0,0.101587,0.0,0.0,0.144444,0.0,0.0,0.101587,0.101587,0.0,0.0,0.0,0.0,0.101587,0.144444,0.101587,0.101587,0.0,0.0
