,A,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
50,2BE0,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
51,1NTB,0.833333,0.352941,0.055556,0.222222,0.555556,0.722222,1.0,0.294118,0.294118,833.333313,611.111084,166.666672,166.666672,111.111115,166.666672,166.666672,111.111115,388.888885,166.666672,166.666672,0.0,166.666672,0.0,0.0,55.555557,55.555557,111.111115,0.0,0.0,0.0,0.0,166.666672,111.111115,0.0,55.555557,0.0,0.0,55.555557,55.555557,0.0,55.555557,111.111115
52,1J7T,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
53,1YKV,0.842105,0.27027,0.026316,0.236842,0.473684,0.710526,1.0,0.135135,0.324324,842.105286,684.21051,131.578949,131.578949,78.947365,131.578949,52.63158,184.210526,552.631592,105.263161,105.263161,26.31579,105.263161,26.31579,26.31579,26.31579,78.947365,26.31579,26.31579,26.31579,52.63158,26.31579,52.63158,26.31579,26.31579,0.0,26.31579,52.63158,78.947365,26.31579,52.63158,0.0,78.947365
54,1MWL,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
55,2TOB,0.75,0.368421,0.1,0.25,0.45,0.65,1.0,0.210526,0.263158,750.0,550.0,150.0,200.0,100.0,100.0,100.0,150.0,350.0,150.0,100.0,50.0,200.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,100.0
56,2OGN,0.744097,0.352206,0.000347,0.257292,0.510069,0.757986,1.0,0.182355,0.269538,744.097229,567.708313,176.041672,176.041672,87.847221,137.847229,94.444443,131.597229,423.958344,143.402771,119.791664,56.25,143.402771,32.638889,56.25,44.791668,67.013885,35.069443,25.0,27.777779,52.777779,43.055557,42.013889,50.0,15.277778,29.166666,28.472221,37.847221,62.152779,27.777779,41.666668,30.902779,40.972221
57,1XBP,0.744097,0.352206,0.000347,0.257292,0.510069,0.757986,1.0,0.182355,0.269538,744.097229,567.708313,176.041672,176.041672,87.847221,137.847229,94.444443,131.597229,423.958344,143.402771,119.791664,56.25,143.402771,32.638889,56.25,44.791668,67.013885,35.069443,25.0,27.777779,52.777779,43.055557,42.013889,50.0,15.277778,29.166666,28.472221,37.847221,62.152779,27.777779,41.666668,30.902779,40.972221
58,1F27,0.545455,0.1,0.545455,0.636364,0.727273,0.818182,1.0,0.0,0.1,545.454529,454.545441,0.0,90.909088,0.0,0.0,0.0,90.909088,363.636353,0.0,0.0,0.0,90.909088,0.0,90.909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.909088,90.909088,0.0,0.0,0.0,0.0
59,2FD0,0.695652,0.454545,0.043478,0.173913,0.434783,0.652174,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,304.347839,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,43.47826,0.0,0.0
