,A,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
10,1TOB,0.185185,0.222222,0.296296,0.296296,0.076923,0.115385,0.192308,0.115385,0.115385,0.192308,0.148148,0.148148,0.259259,0.62963,0.703704,0.37037,0.407407,0.444444,0.592593,0.888889,0.037037,0.074074,0.296296,0.518519,0.925926,0.111111,0.185185,0.666667,0.814815,1.0
11,1FYP,0.111111,0.185185,0.37037,0.333333,0.0,0.076923,0.076923,0.153846,0.153846,0.269231,0.333333,0.333333,0.740741,0.740741,0.777778,0.185185,0.185185,0.444444,0.666667,0.851852,0.037037,0.074074,0.555556,0.703704,0.925926,0.111111,0.222222,0.37037,0.888889,1.0
12,1QD3,0.137931,0.241379,0.344828,0.275862,0.035714,0.214286,0.035714,0.107143,0.214286,0.142857,0.137931,0.137931,0.206897,0.37931,0.655172,0.241379,0.275862,0.517241,0.758621,0.896552,0.034483,0.172414,0.551724,0.689655,0.965517,0.068966,0.103448,0.482759,0.793103,1.0
13,2CKY,0.220779,0.207792,0.350649,0.220779,0.026316,0.171053,0.118421,0.184211,0.105263,0.078947,0.051948,0.298701,0.428571,0.675325,0.935065,0.155844,0.233766,0.506494,0.727273,0.987013,0.012987,0.142857,0.441558,0.779221,0.974026,0.064935,0.25974,0.480519,0.792208,1.0
14,2OE8,0.125,0.1875,0.375,0.3125,0.133333,0.066667,0.066667,0.133333,0.133333,0.266667,0.6875,0.0,0.6875,0.875,0.875,0.375,0.375,0.625,0.625,0.8125,0.0625,0.125,0.1875,0.3125,0.75,0.25,0.25,0.4375,0.9375,1.0
15,2GDI,0.225,0.225,0.3125,0.2375,0.113924,0.151899,0.063291,0.151899,0.139241,0.113924,0.0375,0.4,0.55,0.7625,0.95,0.0625,0.2125,0.5375,0.7375,0.9875,0.0125,0.125,0.35,0.7875,0.9625,0.05,0.1875,0.5,0.6125,1.0
16,2BEE,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
17,1ZZ5,0.214286,0.071429,0.142857,0.571429,0.0,0.0,0.461538,0.076923,0.076923,0.230769,0.5,0.5,0.642857,0.642857,0.857143,0.357143,0.0,0.0,0.357143,0.357143,0.142857,0.0,0.142857,0.285714,0.285714,0.071429,0.214286,0.571429,0.785714,1.0
18,2F4U,0.190476,0.142857,0.333333,0.333333,0.0,0.1,0.2,0.2,0.1,0.25,0.285714,0.285714,0.380952,0.714286,0.761905,0.190476,0.190476,0.619048,0.619048,0.857143,0.047619,0.142857,0.571429,0.666667,0.952381,0.095238,0.238095,0.428571,0.47619,1.0
19,1KOD,0.142857,0.285714,0.357143,0.214286,0.076923,0.076923,0.076923,0.153846,0.153846,0.230769,0.071429,0.0,0.071429,0.5,0.5,0.357143,0.357143,0.428571,0.714286,1.0,0.214286,0.214286,0.285714,0.642857,0.857143,0.142857,0.142857,0.785714,0.785714,0.928571
20,2BE0,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
21,2AU4,0.170732,0.195122,0.414634,0.219512,0.0,0.1,0.05,0.225,0.075,0.2,0.097561,0.170732,0.780488,0.804878,0.853659,0.243902,0.317073,0.512195,0.682927,0.926829,0.02439,0.146341,0.365854,0.609756,0.902439,0.121951,0.439024,0.560976,0.95122,1.0
22,1Q8N,0.263158,0.131579,0.342105,0.263158,0.108108,0.243243,0.081081,0.081081,0.081081,0.135135,0.078947,0.236842,0.578947,0.789474,0.921053,0.105263,0.105263,0.289474,0.842105,0.947368,0.026316,0.210526,0.394737,0.631579,0.894737,0.131579,0.157895,0.368421,0.736842,1.0
23,2OE5,0.294118,0.176471,0.235294,0.294118,0.125,0.0625,0.0625,0.125,0.125,0.125,0.235294,0.235294,0.411765,0.529412,0.588235,0.176471,0.176471,0.352941,0.352941,0.705882,0.058824,0.058824,0.117647,0.647059,0.823529,0.294118,0.294118,0.764706,0.941176,1.0
24,1EI2,0.2,0.24,0.28,0.28,0.041667,0.125,0.25,0.25,0.125,0.083333,0.16,0.16,0.4,0.76,0.84,0.24,0.32,0.48,0.64,0.96,0.04,0.08,0.28,0.36,0.92,0.12,0.56,0.72,0.8,1.0
25,1NTA,0.166667,0.111111,0.333333,0.388889,0.058824,0.058824,0.235294,0.058824,0.117647,0.235294,0.277778,0.277778,0.444444,0.444444,0.888889,0.666667,0.0,0.666667,0.944444,0.944444,0.111111,0.166667,0.555556,0.611111,0.833333,0.055556,0.222222,0.388889,0.5,1.0
26,2FCZ,0.304348,0.173913,0.26087,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.391304,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
27,1FUF,0.142857,0.357143,0.285714,0.214286,0.230769,0.0,0.076923,0.153846,0.076923,0.076923,0.285714,0.0,0.285714,0.857143,0.857143,0.214286,0.214286,0.357143,0.5,0.785714,0.071429,0.071429,0.142857,0.642857,0.714286,0.571429,0.571429,0.928571,0.928571,1.0
28,2BEE,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
29,1KOD,0.142857,0.285714,0.357143,0.214286,0.076923,0.076923,0.076923,0.153846,0.153846,0.230769,0.071429,0.0,0.071429,0.5,0.5,0.357143,0.357143,0.428571,0.714286,1.0,0.214286,0.214286,0.285714,0.642857,0.857143,0.142857,0.142857,0.785714,0.785714,0.928571
30,1YRJ,0.173913,0.217391,0.304348,0.304348,0.0,0.090909,0.181818,0.227273,0.090909,0.227273,0.347826,0.347826,0.434783,0.73913,0.782609,0.043478,0.043478,0.086957,0.652174,0.869565,0.130435,0.217391,0.608696,0.695652,0.956522,0.173913,0.304348,0.478261,0.521739,1.0
31,1PBR,0.148148,0.185185,0.333333,0.333333,0.0,0.076923,0.153846,0.153846,0.153846,0.192308,0.259259,0.259259,0.333333,0.740741,0.777778,0.185185,0.185185,0.444444,0.666667,0.851852,0.037037,0.074074,0.555556,0.703704,0.925926,0.111111,0.222222,0.37037,0.888889,1.0
32,1KOC,0.214286,0.214286,0.357143,0.214286,0.076923,0.153846,0.153846,0.153846,0.153846,0.153846,0.071429,0.071429,0.214286,0.214286,0.5,0.428571,0.428571,0.714286,0.714286,1.0,0.285714,0.285714,0.357143,0.642857,0.857143,0.142857,0.142857,0.785714,0.785714,0.928571
33,2PWT,0.190476,0.142857,0.333333,0.333333,0.0,0.1,0.2,0.2,0.1,0.25,0.285714,0.285714,0.380952,0.714286,0.761905,0.190476,0.190476,0.619048,0.619048,0.857143,0.047619,0.142857,0.571429,0.666667,0.952381,0.095238,0.238095,0.428571,0.47619,1.0
34,2ET8,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
35,1LC4,0.173913,0.217391,0.304348,0.304348,0.0,0.090909,0.181818,0.227273,0.090909,0.227273,0.347826,0.347826,0.434783,0.73913,0.782609,0.043478,0.043478,0.086957,0.652174,0.869565,0.130435,0.217391,0.608696,0.695652,0.956522,0.173913,0.304348,0.478261,0.521739,1.0
36,1AJU,0.133333,0.2,0.366667,0.3,0.034483,0.206897,0.034483,0.103448,0.206897,0.137931,0.166667,0.166667,0.233333,0.366667,0.633333,0.266667,0.3,0.5,0.733333,0.866667,0.033333,0.2,0.533333,0.6,0.933333,0.1,0.133333,0.466667,0.833333,1.0
37,1O9M,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
38,2F4S,0.190476,0.142857,0.333333,0.333333,0.0,0.1,0.2,0.2,0.1,0.25,0.285714,0.285714,0.380952,0.714286,0.761905,0.190476,0.190476,0.619048,0.619048,0.857143,0.047619,0.142857,0.571429,0.666667,0.952381,0.095238,0.238095,0.428571,0.47619,1.0
39,1FMN,0.228571,0.171429,0.371429,0.228571,0.117647,0.176471,0.117647,0.117647,0.058824,0.205882,0.228571,0.314286,0.657143,0.742857,0.885714,0.142857,0.2,0.342857,0.4,0.514286,0.028571,0.114286,0.285714,0.685714,0.942857,0.085714,0.457143,0.628571,0.914286,1.0
40,2FD0,0.304348,0.173913,0.26087,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.391304,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
41,3D2X,0.220779,0.207792,0.350649,0.220779,0.026316,0.171053,0.118421,0.184211,0.105263,0.078947,0.051948,0.298701,0.428571,0.675325,0.935065,0.155844,0.233766,0.506494,0.727273,0.987013,0.012987,0.142857,0.441558,0.779221,0.974026,0.064935,0.25974,0.480519,0.792208,1.0
42,2ET4,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
43,1NBK,0.176471,0.176471,0.323529,0.323529,0.060606,0.151515,0.030303,0.060606,0.181818,0.181818,0.117647,0.294118,0.5,0.529412,0.764706,0.205882,0.235294,0.323529,0.676471,0.911765,0.029412,0.088235,0.441176,0.617647,0.852941,0.176471,0.382353,0.705882,0.882353,1.0
44,1KOC,0.214286,0.214286,0.357143,0.214286,0.076923,0.153846,0.153846,0.153846,0.153846,0.153846,0.071429,0.071429,0.214286,0.214286,0.5,0.428571,0.428571,0.714286,0.714286,1.0,0.285714,0.285714,0.357143,0.642857,0.857143,0.142857,0.142857,0.785714,0.785714,0.928571
45,1XPF,0.26087,0.173913,0.304348,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.608696,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
46,1EHT,0.212121,0.121212,0.333333,0.333333,0.0625,0.15625,0.09375,0.0625,0.0625,0.25,0.151515,0.212121,0.454545,0.484848,0.848485,0.181818,0.181818,0.69697,0.727273,0.969697,0.030303,0.121212,0.545455,0.757576,0.939394,0.090909,0.272727,0.606061,0.666667,1.0
47,1Q8N,0.263158,0.131579,0.342105,0.263158,0.108108,0.243243,0.081081,0.081081,0.081081,0.135135,0.078947,0.236842,0.578947,0.789474,0.921053,0.105263,0.105263,0.289474,0.842105,0.947368,0.026316,0.210526,0.394737,0.631579,0.894737,0.131579,0.157895,0.368421,0.736842,1.0
48,1F1T,0.263158,0.131579,0.342105,0.263158,0.108108,0.243243,0.081081,0.081081,0.081081,0.135135,0.078947,0.236842,0.578947,0.789474,0.921053,0.105263,0.105263,0.289474,0.842105,0.947368,0.026316,0.210526,0.394737,0.631579,0.894737,0.131579,0.157895,0.368421,0.736842,1.0
49,1J7T,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
50,2BE0,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
51,1NTB,0.166667,0.111111,0.333333,0.388889,0.058824,0.058824,0.235294,0.058824,0.117647,0.235294,0.277778,0.277778,0.444444,0.444444,0.888889,0.666667,0.0,0.666667,0.944444,0.944444,0.111111,0.166667,0.555556,0.611111,0.833333,0.055556,0.222222,0.388889,0.5,1.0
52,1J7T,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
53,1YKV,0.157895,0.157895,0.368421,0.315789,0.054054,0.135135,0.081081,0.054054,0.162162,0.27027,0.157895,0.421053,0.684211,0.763158,0.842105,0.315789,0.5,0.552632,0.578947,0.894737,0.026316,0.131579,0.289474,0.631579,0.973684,0.105263,0.263158,0.473684,0.736842,1.0
54,1MWL,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
55,2TOB,0.25,0.4,0.3,0.05,0.157895,0.157895,0.052632,0.263158,0.052632,0.0,0.05,0.05,0.5,0.75,0.9,0.15,0.2,0.4,0.65,1.0,0.25,0.3,0.55,0.6,0.95,0.1,0.0,0.0,0.1,0.1
56,2OGN,0.255903,0.190625,0.314583,0.238889,0.078499,0.169851,0.103856,0.128517,0.102119,0.141021,0.001736,0.228125,0.470486,0.719792,0.998958,0.001042,0.270486,0.513194,0.755903,0.999653,0.000347,0.248958,0.496528,0.754861,0.997569,0.001389,0.258681,0.519792,0.762153,1.0
57,1XBP,0.255903,0.190625,0.314583,0.238889,0.078499,0.169851,0.103856,0.128517,0.102119,0.141021,0.001736,0.228125,0.470486,0.719792,0.998958,0.001042,0.270486,0.513194,0.755903,0.999653,0.000347,0.248958,0.496528,0.754861,0.997569,0.001389,0.258681,0.519792,0.762153,1.0
58,1F27,0.454545,0.181818,0.090909,0.272727,0.0,0.1,0.0,0.1,0.3,0.0,0.090909,0.090909,0.181818,0.363636,0.454545,0.636364,0.0,0.636364,0.909091,0.909091,0.545455,0.0,0.0,0.545455,0.545455,0.727273,0.727273,0.818182,0.818182,1.0
59,2FD0,0.304348,0.173913,0.26087,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.391304,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
60,1NEM,0.217391,0.217391,0.391304,0.173913,0.045455,0.272727,0.045455,0.136364,0.090909,0.090909,0.130435,0.130435,0.478261,0.608696,0.826087,0.217391,0.217391,0.695652,0.782609,0.913043,0.043478,0.086957,0.304348,0.521739,0.869565,0.173913,0.173913,0.391304,0.956522,1.0
61,1AM0,0.225,0.175,0.35,0.25,0.0,0.102564,0.153846,0.179487,0.076923,0.102564,0.225,0.25,0.325,0.825,0.925,0.1,0.125,0.45,0.6,0.725,0.025,0.15,0.275,0.5,0.85,0.375,0.525,0.775,0.95,1.0
62,2G9C,0.253731,0.253731,0.253731,0.238806,0.212121,0.060606,0.121212,0.136364,0.075758,0.151515,0.044776,0.134328,0.38806,0.746269,0.925373,0.089552,0.238806,0.507463,0.820896,0.970149,0.014925,0.223881,0.358209,0.641791,0.955224,0.059701,0.373134,0.58209,0.701493,1.0
63,2TOB,0.25,0.4,0.3,0.05,0.157895,0.157895,0.052632,0.263158,0.052632,0.0,0.05,0.05,0.5,0.75,0.9,0.15,0.2,0.4,0.65,1.0,0.25,0.3,0.55,0.6,0.95,0.1,0.0,0.0,0.1,0.1
64,1AM0,0.225,0.175,0.35,0.25,0.0,0.102564,0.153846,0.179487,0.076923,0.102564,0.225,0.25,0.325,0.825,0.925,0.1,0.125,0.45,0.6,0.725,0.025,0.15,0.275,0.5,0.85,0.375,0.525,0.775,0.95,1.0
65,2ESJ,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
66,2F4U,0.190476,0.142857,0.333333,0.333333,0.0,0.1,0.2,0.2,0.1,0.25,0.285714,0.285714,0.380952,0.714286,0.761905,0.190476,0.190476,0.619048,0.619048,0.857143,0.047619,0.142857,0.571429,0.666667,0.952381,0.095238,0.238095,0.428571,0.47619,1.0
67,1F27,0.454545,0.181818,0.090909,0.272727,0.0,0.1,0.0,0.1,0.3,0.0,0.090909,0.090909,0.181818,0.363636,0.454545,0.636364,0.0,0.636364,0.909091,0.909091,0.545455,0.0,0.0,0.545455,0.545455,0.727273,0.727273,0.818182,0.818182,1.0
68,2GIS,0.308511,0.148936,0.319149,0.223404,0.064516,0.204301,0.107527,0.11828,0.053763,0.11828,0.06383,0.255319,0.521277,0.808511,1.0,0.042553,0.180851,0.574468,0.680851,0.93617,0.010638,0.202128,0.37234,0.723404,0.968085,0.031915,0.319149,0.468085,0.702128,0.989362
69,2ET8,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
70,1TOB,0.185185,0.222222,0.296296,0.296296,0.076923,0.115385,0.192308,0.115385,0.115385,0.192308,0.148148,0.148148,0.259259,0.62963,0.703704,0.37037,0.407407,0.444444,0.592593,0.888889,0.037037,0.074074,0.296296,0.518519,0.925926,0.111111,0.185185,0.666667,0.814815,1.0
71,1Y27,0.25,0.25,0.264706,0.235294,0.208955,0.059701,0.119403,0.134328,0.104478,0.149254,0.044118,0.147059,0.397059,0.75,0.926471,0.058824,0.176471,0.5,0.794118,0.985294,0.014706,0.235294,0.426471,0.720588,0.970588,0.073529,0.382353,0.588235,0.705882,1.0
72,1O15,0.212121,0.121212,0.333333,0.333333,0.0625,0.15625,0.09375,0.0625,0.0625,0.25,0.151515,0.212121,0.454545,0.484848,0.848485,0.181818,0.181818,0.69697,0.727273,0.969697,0.030303,0.121212,0.545455,0.757576,0.939394,0.090909,0.272727,0.606061,0.666667,1.0
73,2FCZ,0.304348,0.173913,0.26087,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.391304,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
74,1FYP,0.111111,0.185185,0.37037,0.333333,0.0,0.076923,0.076923,0.153846,0.153846,0.269231,0.333333,0.333333,0.740741,0.740741,0.777778,0.185185,0.185185,0.444444,0.666667,0.851852,0.037037,0.074074,0.555556,0.703704,0.925926,0.111111,0.222222,0.37037,0.888889,1.0
75,1NEM,0.217391,0.217391,0.391304,0.173913,0.045455,0.272727,0.045455,0.136364,0.090909,0.090909,0.130435,0.130435,0.478261,0.608696,0.826087,0.217391,0.217391,0.695652,0.782609,0.913043,0.043478,0.086957,0.304348,0.521739,0.869565,0.173913,0.173913,0.391304,0.956522,1.0
76,1HNW,0.0,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.5,0.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.833333,0.833333
77,1Y26,0.28169,0.352113,0.197183,0.169014,0.214286,0.128571,0.057143,0.128571,0.142857,0.042857,0.098592,0.239437,0.56338,0.746479,0.957746,0.056338,0.225352,0.408451,0.788732,0.985915,0.028169,0.366197,0.450704,0.661972,1.0,0.014085,0.084507,0.535211,0.676056,0.802817
78,2O3X,0.173913,0.217391,0.304348,0.304348,0.0,0.090909,0.181818,0.227273,0.090909,0.227273,0.347826,0.347826,0.434783,0.73913,0.782609,0.043478,0.043478,0.086957,0.652174,0.869565,0.130435,0.217391,0.608696,0.695652,0.956522,0.173913,0.304348,0.478261,0.521739,1.0
79,1PBR,0.148148,0.185185,0.333333,0.333333,0.0,0.076923,0.153846,0.153846,0.153846,0.192308,0.259259,0.259259,0.333333,0.740741,0.777778,0.185185,0.185185,0.444444,0.666667,0.851852,0.037037,0.074074,0.555556,0.703704,0.925926,0.111111,0.222222,0.37037,0.888889,1.0
80,3GX2,0.297872,0.138298,0.329787,0.234043,0.053763,0.204301,0.107527,0.107527,0.053763,0.139785,0.06383,0.255319,0.521277,0.797872,0.957447,0.042553,0.074468,0.574468,0.712766,0.93617,0.010638,0.202128,0.446809,0.755319,1.0,0.031915,0.329787,0.468085,0.691489,0.989362
81,1MWL,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
82,1Y26,0.28169,0.352113,0.197183,0.169014,0.214286,0.128571,0.057143,0.128571,0.142857,0.042857,0.098592,0.239437,0.56338,0.746479,0.957746,0.056338,0.225352,0.408451,0.788732,0.985915,0.028169,0.366197,0.450704,0.661972,1.0,0.014085,0.084507,0.535211,0.676056,0.802817
83,3SUX,0.237624,0.19802,0.346535,0.217822,0.06,0.16,0.12,0.17,0.09,0.14,0.029703,0.148515,0.376238,0.623762,0.891089,0.089109,0.277228,0.514851,0.831683,0.990099,0.009901,0.217822,0.415842,0.693069,0.970297,0.039604,0.386139,0.613861,0.851485,1.0
84,4FE5,0.253731,0.238806,0.253731,0.253731,0.19697,0.060606,0.136364,0.136364,0.090909,0.151515,0.044776,0.134328,0.38806,0.746269,0.925373,0.089552,0.238806,0.507463,0.791045,0.970149,0.014925,0.223881,0.358209,0.641791,0.955224,0.059701,0.373134,0.58209,0.835821,1.0
