,A,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
20,2BE0,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
21,2AU4,0.780488,0.325,0.02439,0.219512,0.414634,0.707317,0.926829,0.25,0.225,780.487793,609.756104,170.731705,146.341461,121.951218,121.951218,121.951218,97.560974,463.414642,146.341461,146.341461,24.390244,121.951218,24.390244,0.0,97.560974,48.780487,97.560974,0.0,24.390244,73.170731,24.390244,24.390244,48.780487,24.390244,48.780487,0.0,0.0,73.170731,0.0,24.390244,24.390244,24.390244
22,1Q8N,0.736842,0.297297,0.026316,0.289474,0.5,0.763158,0.947368,0.216216,0.189189,736.842102,578.947388,157.89473,131.578949,105.263161,105.263161,105.263161,78.947365,421.052643,157.89473,78.947365,78.947365,131.578949,0.0,52.63158,105.263161,105.263161,52.63158,26.31579,26.31579,52.63158,52.63158,0.0,105.263161,0.0,0.0,52.63158,26.31579,78.947365,0.0,0.0,0.0,0.0
23,2OE5,0.705882,0.3125,0.058824,0.176471,0.411765,0.588235,0.823529,0.1875,0.25,705.882324,529.411743,176.470581,117.647057,117.647057,117.647057,58.823528,117.647057,411.764709,117.647057,117.647057,58.823528,58.823528,58.823528,0.0,0.0,117.647057,0.0,58.823528,58.823528,58.823528,58.823528,0.0,0.0,58.823528,0.0,0.0,58.823528,58.823528,58.823528,0.0,58.823528,0.0
24,1EI2,0.72,0.458333,0.04,0.2,0.4,0.68,0.96,0.333333,0.291667,720.0,480.0,240.0,200.0,160.0,160.0,160.0,120.0,320.0,160.0,160.0,40.0,120.0,80.0,40.0,40.0,80.0,120.0,40.0,0.0,120.0,40.0,0.0,40.0,80.0,40.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0
25,1NTA,0.611111,0.588235,0.111111,0.277778,0.611111,0.777778,0.944444,0.470588,0.117647,611.111084,333.333344,277.777771,277.777771,166.666672,111.111115,277.777771,0.0,166.666672,166.666672,166.666672,55.555557,166.666672,111.111115,55.555557,55.555557,111.111115,111.111115,55.555557,0.0,0.0,111.111115,0.0,166.666672,111.111115,0.0,55.555557,0.0,0.0,0.0,0.0,55.555557,0.0
26,2FCZ,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
27,1FUF,0.785714,0.230769,0.071429,0.214286,0.428571,0.642857,0.857143,0.153846,0.384615,785.714294,642.857117,142.857147,71.428574,71.428574,214.285721,71.428574,142.857147,500.0,142.857147,71.428574,71.428574,71.428574,0.0,0.0,0.0,142.857147,0.0,71.428574,0.0,142.857147,0.0,71.428574,71.428574,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,71.428574,0.0
28,2BEE,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
29,1KOD,0.785714,0.461538,0.071429,0.285714,0.5,0.642857,1.0,0.307692,0.230769,785.714294,500.0,214.285721,214.285721,142.857147,142.857147,142.857147,71.428574,428.571442,71.428574,214.285721,0.0,71.428574,71.428574,0.0,0.0,142.857147,71.428574,0.0,71.428574,0.0,71.428574,71.428574,71.428574,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,71.428574
30,1YRJ,0.695652,0.5,0.043478,0.217391,0.565217,0.73913,0.956522,0.409091,0.227273,695.652161,434.782623,260.869568,217.391312,173.91304,130.434784,217.391312,86.95652,304.347839,130.434784,173.91304,43.47826,86.95652,130.434784,43.47826,0.0,86.95652,86.95652,43.47826,0.0,43.47826,86.95652,0.0,43.47826,130.434784,43.47826,43.47826,0.0,43.47826,43.47826,0.0,86.95652,43.47826
31,1PBR,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
32,1KOC,0.785714,0.461538,0.071429,0.285714,0.5,0.642857,1.0,0.307692,0.230769,785.714294,500.0,214.285721,214.285721,142.857147,142.857147,142.857147,71.428574,428.571442,71.428574,214.285721,0.0,71.428574,71.428574,0.0,0.0,142.857147,71.428574,0.0,71.428574,71.428574,71.428574,0.0,71.428574,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0
33,2PWT,0.666667,0.55,0.047619,0.285714,0.571429,0.714286,0.952381,0.45,0.2,666.666687,380.952393,285.714294,238.095245,190.476196,142.857147,238.095245,47.619049,285.714294,95.238098,190.476196,47.619049,95.238098,142.857147,47.619049,0.0,95.238098,95.238098,47.619049,0.0,47.619049,95.238098,0.0,47.619049,142.857147,47.619049,47.619049,0.0,47.619049,0.0,0.0,95.238098,0.0
34,2ET8,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
35,1LC4,0.695652,0.5,0.043478,0.217391,0.565217,0.73913,0.956522,0.409091,0.227273,695.652161,434.782623,260.869568,217.391312,173.91304,130.434784,217.391312,86.95652,304.347839,130.434784,173.91304,43.47826,86.95652,130.434784,43.47826,0.0,86.95652,86.95652,43.47826,0.0,43.47826,86.95652,0.0,43.47826,130.434784,43.47826,43.47826,0.0,43.47826,43.47826,0.0,86.95652,43.47826
36,1AJU,0.7,0.37931,0.033333,0.233333,0.4,0.666667,0.933333,0.172414,0.137931,700.0,500.0,200.0,166.666672,133.333328,33.333332,33.333332,100.0,366.666656,133.333328,100.0,100.0,100.0,66.666664,66.666664,133.333328,33.333332,0.0,100.0,33.333332,0.0,0.0,33.333332,33.333332,0.0,0.0,33.333332,66.666664,100.0,0.0,0.0,0.0,33.333332
37,1O9M,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
38,2F4S,0.666667,0.55,0.047619,0.285714,0.571429,0.714286,0.952381,0.45,0.2,666.666687,380.952393,285.714294,238.095245,190.476196,142.857147,238.095245,47.619049,285.714294,95.238098,190.476196,47.619049,95.238098,142.857147,47.619049,0.0,95.238098,95.238098,47.619049,0.0,47.619049,95.238098,0.0,47.619049,142.857147,47.619049,47.619049,0.0,47.619049,0.0,0.0,95.238098,0.0
39,1FMN,0.771429,0.382353,0.028571,0.228571,0.428571,0.685714,0.942857,0.323529,0.235294,771.428589,571.428589,200.0,171.428574,171.428574,114.285713,142.857147,114.285713,428.571442,142.857147,171.428574,28.571428,114.285713,57.142857,0.0,85.714287,28.571428,114.285713,28.571428,28.571428,114.285713,0.0,0.0,57.142857,57.142857,28.571428,0.0,0.0,28.571428,28.571428,57.142857,28.571428,0.0
40,2FD0,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
41,3D2X,0.779221,0.302632,0.012987,0.233766,0.506494,0.74026,0.987013,0.197368,0.210526,779.220764,623.376648,155.844162,142.857147,116.883118,90.909088,77.922081,116.883118,493.5065,129.870132,90.909088,51.948051,116.883118,25.974026,51.948051,51.948051,64.935066,51.948051,38.96104,25.974026,51.948051,25.974026,12.987013,51.948051,25.974026,0.0,12.987013,38.96104,51.948051,38.96104,25.974026,12.987013,25.974026
42,2ET4,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
43,1NBK,0.676471,0.393939,0.029412,0.205882,0.470588,0.647059,0.911765,0.212121,0.121212,676.470581,470.588226,205.882355,176.470581,88.235291,88.235291,117.647057,29.411764,323.529419,147.058823,147.058823,58.823528,117.647057,58.823528,29.411764,58.823528,88.235291,29.411764,0.0,58.823528,0.0,88.235291,0.0,88.235291,29.411764,0.0,29.411764,0.0,29.411764,0.0,0.0,58.823528,29.411764
44,1KOC,0.785714,0.461538,0.071429,0.285714,0.5,0.642857,1.0,0.307692,0.230769,785.714294,500.0,214.285721,214.285721,142.857147,142.857147,142.857147,71.428574,428.571442,71.428574,214.285721,0.0,71.428574,71.428574,0.0,0.0,142.857147,71.428574,0.0,71.428574,71.428574,71.428574,0.0,71.428574,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0
45,1XPF,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
46,1EHT,0.666667,0.40625,0.030303,0.212121,0.484848,0.727273,0.969697,0.34375,0.125,666.666687,454.545441,212.121216,181.818176,181.818176,60.60606,151.515152,60.60606,242.42424,212.121216,90.909088,90.909088,181.818176,0.0,90.909088,151.515152,30.30303,90.909088,90.909088,0.0,30.30303,30.30303,0.0,121.21212,0.0,30.30303,60.60606,0.0,30.30303,30.30303,0.0,0.0,30.30303
47,1Q8N,0.736842,0.297297,0.026316,0.289474,0.5,0.763158,0.947368,0.216216,0.189189,736.842102,578.947388,157.89473,131.578949,105.263161,105.263161,105.263161,78.947365,421.052643,157.89473,78.947365,78.947365,131.578949,0.0,52.63158,105.263161,105.263161,52.63158,26.31579,26.31579,52.63158,52.63158,0.0,105.263161,0.0,0.0,52.63158,26.31579,78.947365,0.0,0.0,0.0,0.0
48,1F1T,0.736842,0.297297,0.026316,0.289474,0.5,0.763158,0.947368,0.216216,0.189189,736.842102,578.947388,157.89473,131.578949,105.263161,105.263161,105.263161,78.947365,421.052643,157.89473,78.947365,78.947365,131.578949,0.0,52.63158,105.263161,105.263161,52.63158,26.31579,26.31579,52.63158,52.63158,0.0,105.263161,0.0,0.0,52.63158,26.31579,78.947365,0.0,0.0,0.0,0.0
49,1J7T,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
50,2BE0,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
51,1NTB,0.611111,0.588235,0.111111,0.277778,0.611111,0.777778,0.944444,0.470588,0.117647,611.111084,333.333344,277.777771,277.777771,166.666672,111.111115,277.777771,0.0,166.666672,166.666672,166.666672,55.555557,166.666672,111.111115,55.555557,55.555557,111.111115,111.111115,55.555557,0.0,0.0,111.111115,0.0,166.666672,111.111115,0.0,55.555557,0.0,0.0,0.0,0.0,55.555557,0.0
52,1J7T,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
53,1YKV,0.684211,0.513514,0.026316,0.184211,0.5,0.763158,0.973684,0.351351,0.108108,684.21051,421.052643,263.157898,236.842102,184.210526,52.63158,157.89473,52.63158,210.526321,210.526321,184.210526,52.63158,184.210526,52.63158,52.63158,131.578949,26.31579,52.63158,52.63158,52.63158,52.63158,0.0,0.0,131.578949,0.0,26.31579,52.63158,0.0,0.0,52.63158,0.0,52.63158,0.0
54,1MWL,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
55,2TOB,0.95,0.105263,0.05,0.3,0.55,0.75,1.0,0.052632,0.421053,950.0,850.0,50.0,50.0,50.0,200.0,0.0,200.0,800.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,200.0,0.0,0.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0
56,2OGN,0.761111,0.346995,0.000347,0.246181,0.494792,0.746181,0.999653,0.244877,0.207016,761.111084,587.5,173.611115,173.263885,123.958336,102.083336,120.833336,104.861115,453.125,134.375,124.652779,48.611111,134.027771,39.236111,48.611111,76.041664,62.152779,58.333332,36.111111,29.513889,55.555557,26.041666,20.486111,72.916664,25.694445,22.222221,34.375,29.513889,64.930557,22.222221,17.708334,28.125,19.791666
57,1XBP,0.761111,0.346995,0.000347,0.246181,0.494792,0.746181,0.999653,0.244877,0.207016,761.111084,587.5,173.611115,173.263885,123.958336,102.083336,120.833336,104.861115,453.125,134.375,124.652779,48.611111,134.027771,39.236111,48.611111,76.041664,62.152779,58.333332,36.111111,29.513889,55.555557,26.041666,20.486111,72.916664,25.694445,22.222221,34.375,29.513889,64.930557,22.222221,17.708334,28.125,19.791666
58,1F27,0.727273,0.3,0.090909,0.181818,0.363636,0.545455,0.909091,0.0,0.1,727.272705,545.454529,181.818176,90.909088,0.0,90.909088,0.0,0.0,454.545441,90.909088,0.0,90.909088,0.0,90.909088,90.909088,0.0,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
