,A,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
10,1TOB,0.777778,0.307692,0.037037,0.185185,0.481481,0.740741,1.0,0.307692,0.230769,0.192308,0.307692,777.777771,592.59259,148.148148,148.148148,111.111115,148.148148,185.185181,74.074074,74.074074,148.148148,111.111115,148.148148,407.40741,148.148148,111.111115,37.037037,148.148148,0.0,37.037037,74.074074,111.111115,111.111115,0.0,0.0,74.074074,37.037037,37.037037,111.111115,37.037037,37.037037,0.0,0.0,74.074074,0.0,0.0,74.074074,0.0,37.037037,37.037037,74.074074,0.0,0.0,74.074074,37.037037,37.037037,37.037037,0.0,74.074074,37.037037,37.037037,74.074074,37.037037,37.037037,0.0,37.037037
11,1FYP,0.814815,0.307692,0.037037,0.259259,0.518519,0.740741,1.0,0.153846,0.307692,0.153846,0.346154,814.814819,629.629639,148.148148,148.148148,74.074074,148.148148,74.074074,148.148148,37.037037,185.185181,111.111115,148.148148,444.444458,148.148148,111.111115,37.037037,148.148148,0.0,37.037037,37.037037,111.111115,37.037037,37.037037,0.0,111.111115,0.0,37.037037,37.037037,0.0,37.037037,37.037037,0.0,111.111115,37.037037,0.0,0.0,37.037037,37.037037,37.037037,0.0,37.037037,0.0,74.074074,74.074074,37.037037,0.0,0.0,111.111115,37.037037,37.037037,111.111115,0.0,37.037037,74.074074,37.037037
12,1QD3,0.758621,0.357143,0.034483,0.206897,0.482759,0.689655,1.0,0.25,0.321429,0.25,0.357143,758.620667,551.724121,172.413788,172.413788,137.93103,137.93103,103.448273,172.413788,172.413788,103.448273,68.965515,241.379303,413.793091,103.448273,137.93103,34.482758,103.448273,68.965515,34.482758,68.965515,68.965515,103.448273,0.0,34.482758,137.93103,0.0,0.0,68.965515,34.482758,0.0,0.0,0.0,68.965515,34.482758,68.965515,0.0,34.482758,34.482758,34.482758,68.965515,34.482758,68.965515,103.448273,0.0,0.0,0.0,68.965515,0.0,0.0,34.482758,68.965515,68.965515,68.965515,0.0,68.965515
13,2CKY,0.792208,0.315789,0.012987,0.25974,0.480519,0.753247,1.0,0.289474,0.289474,0.131579,0.25,792.207764,623.376648,155.844162,155.844162,142.857147,142.857147,142.857147,142.857147,77.922081,103.896103,51.948051,142.857147,493.5065,129.870132,116.883118,38.96104,116.883118,25.974026,38.96104,51.948051,90.909088,103.896103,38.96104,0.0,90.909088,12.987013,38.96104,77.922081,38.96104,25.974026,38.96104,12.987013,51.948051,51.948051,25.974026,0.0,38.96104,51.948051,64.935066,0.0,25.974026,51.948051,25.974026,25.974026,51.948051,38.96104,0.0,0.0,12.987013,77.922081,77.922081,25.974026,38.96104,38.96104,38.96104
14,2OE8,0.8125,0.4,0.0625,0.1875,0.4375,0.75,1.0,0.133333,0.266667,0.266667,0.333333,812.5,562.5,187.5,187.5,0.0,187.5,125.0,62.5,62.5,187.5,187.5,125.0,312.5,187.5,187.5,0.0,187.5,0.0,0.0,0.0,125.0,0.0,0.0,0.0,62.5,125.0,0.0,62.5,0.0,62.5,0.0,0.0,62.5,0.0,0.0,125.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,125.0,0.0,62.5,0.0,125.0,0.0,0.0,0.0,62.5,62.5,125.0,62.5
15,2GDI,0.775,0.405063,0.0125,0.2625,0.4875,0.75,1.0,0.21519,0.291139,0.253165,0.265823,775.0,562.5,200.0,200.0,112.5,137.5,100.0,150.0,137.5,112.5,112.5,150.0,400.0,162.5,175.0,25.0,150.0,37.5,25.0,50.0,87.5,50.0,37.5,25.0,87.5,25.0,25.0,62.5,12.5,25.0,25.0,37.5,62.5,50.0,25.0,25.0,25.0,62.5,50.0,62.5,12.5,62.5,25.0,50.0,37.5,37.5,37.5,25.0,25.0,75.0,75.0,37.5,37.5,25.0,50.0
16,2BEE,0.863636,0.285714,0.045455,0.272727,0.5,0.727273,1.0,0.285714,0.285714,0.095238,0.380952,863.636353,681.818176,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,0.0,227.27272,90.909088,136.363632,500.0,136.363632,136.363632,0.0,136.363632,0.0,0.0,0.0,90.909088,90.909088,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,0.0
17,1ZZ5,0.928571,0.153846,0.071429,0.214286,0.5,0.785714,1.0,0.461538,0.153846,0.076923,0.230769,928.571411,785.714294,71.428574,71.428574,214.285721,71.428574,214.285721,71.428574,0.0,142.857147,71.428574,71.428574,642.857117,71.428574,71.428574,0.0,71.428574,0.0,0.0,71.428574,71.428574,214.285721,0.0,0.0,71.428574,0.0,0.0,142.857147,71.428574,0.0,0.0,0.0,0.0,71.428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0
18,2F4U,0.857143,0.3,0.047619,0.238095,0.47619,0.761905,1.0,0.3,0.3,0.1,0.35,857.142883,666.666687,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,0.0,190.476196,95.238098,142.857147,476.190491,142.857147,142.857147,0.0,142.857147,0.0,0.0,0.0,95.238098,95.238098,47.619049,0.0,142.857147,0.0,0.0,47.619049,47.619049,47.619049,47.619049,0.0,47.619049,95.238098,0.0,0.0,0.0,0.0,95.238098,0.0,0.0,0.0,47.619049,95.238098,47.619049,47.619049,0.0,47.619049,0.0,47.619049,47.619049,0.0,47.619049,95.238098,0.0
19,1KOD,0.714286,0.384615,0.071429,0.142857,0.5,0.785714,0.928571,0.153846,0.307692,0.230769,0.307692,714.285706,500.0,214.285721,142.857147,0.0,214.285721,142.857147,71.428574,71.428574,214.285721,142.857147,71.428574,285.714294,214.285721,71.428574,71.428574,142.857147,0.0,71.428574,0.0,214.285721,0.0,0.0,0.0,71.428574,0.0,71.428574,142.857147,0.0,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,0.0,142.857147,0.0,0.0,142.857147,71.428574,0.0,0.0,71.428574,0.0,71.428574,0.0
20,2BE0,0.863636,0.285714,0.045455,0.272727,0.5,0.727273,1.0,0.285714,0.285714,0.095238,0.380952,863.636353,681.818176,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,0.0,227.27272,90.909088,136.363632,500.0,136.363632,136.363632,0.0,136.363632,0.0,0.0,0.0,90.909088,90.909088,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,0.0
21,2AU4,0.804878,0.3,0.02439,0.195122,0.463415,0.780488,1.0,0.15,0.3,0.075,0.3,804.878052,634.146362,146.341461,146.341461,73.170731,146.341461,73.170731,146.341461,24.390244,146.341461,48.780487,146.341461,487.804871,121.951218,97.560974,48.780487,121.951218,24.390244,48.780487,48.780487,97.560974,24.390244,48.780487,0.0,97.560974,0.0,48.780487,48.780487,0.0,24.390244,48.780487,0.0,97.560974,24.390244,24.390244,0.0,48.780487,0.0,73.170731,0.0,24.390244,0.0,48.780487,73.170731,24.390244,24.390244,0.0,24.390244,24.390244,24.390244,73.170731,24.390244,48.780487,24.390244,73.170731
22,1Q8N,0.868421,0.27027,0.026316,0.236842,0.473684,0.736842,1.0,0.324324,0.162162,0.189189,0.378378,868.421082,710.526306,131.578949,131.578949,184.210526,52.63158,131.578949,105.263161,105.263161,157.89473,78.947365,210.526321,552.631592,131.578949,131.578949,0.0,131.578949,0.0,0.0,157.89473,26.31579,105.263161,26.31579,52.63158,26.31579,26.31579,0.0,78.947365,26.31579,26.31579,26.31579,78.947365,105.263161,0.0,0.0,0.0,0.0,52.63158,78.947365,52.63158,0.0,52.63158,131.578949,0.0,26.31579,78.947365,0.0,0.0,0.0,0.0,78.947365,52.63158,78.947365,26.31579,78.947365
23,2OE5,0.823529,0.375,0.058824,0.294118,0.529412,0.764706,1.0,0.125,0.25,0.25,0.1875,823.529419,588.235291,176.470581,176.470581,0.0,176.470581,117.647057,58.823528,58.823528,117.647057,176.470581,58.823528,352.941162,176.470581,176.470581,0.0,176.470581,0.0,0.0,0.0,58.823528,0.0,0.0,0.0,58.823528,117.647057,0.0,0.0,0.0,117.647057,58.823528,0.0,58.823528,0.0,0.0,58.823528,0.0,58.823528,58.823528,58.823528,0.0,0.0,58.823528,58.823528,0.0,117.647057,0.0,58.823528,0.0,0.0,58.823528,0.0,0.0,117.647057,0.0
24,1EI2,0.76,0.416667,0.04,0.2,0.52,0.76,1.0,0.375,0.375,0.166667,0.208333,760.0,520.0,200.0,200.0,160.0,200.0,200.0,160.0,40.0,120.0,120.0,80.0,360.0,160.0,160.0,40.0,120.0,40.0,40.0,40.0,80.0,160.0,0.0,0.0,120.0,40.0,40.0,80.0,40.0,80.0,0.0,0.0,0.0,80.0,40.0,40.0,40.0,40.0,80.0,0.0,40.0,0.0,0.0,120.0,0.0,80.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,80.0,40.0
25,1NTA,0.888889,0.235294,0.055556,0.222222,0.444444,0.722222,1.0,0.294118,0.176471,0.176471,0.294118,888.888916,722.222229,111.111115,111.111115,166.666672,55.555557,111.111115,111.111115,55.555557,166.666672,111.111115,111.111115,611.111084,111.111115,111.111115,0.0,55.555557,0.0,0.0,166.666672,55.555557,111.111115,0.0,55.555557,55.555557,0.0,0.0,111.111115,0.0,0.0,0.0,55.555557,55.555557,0.0,0.0,0.0,0.0,0.0,55.555557,55.555557,0.0,0.0,0.0,0.0,166.666672,0.0,0.0,55.555557,0.0,0.0,55.555557,55.555557,0.0,55.555557,111.111115
26,2FCZ,0.826087,0.272727,0.043478,0.347826,0.608696,0.782609,1.0,0.454545,0.272727,0.090909,0.318182,826.086975,652.173889,130.434784,130.434784,217.391312,130.434784,217.391312,130.434784,86.95652,130.434784,0.0,173.91304,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,86.95652,43.47826,130.434784,86.95652,0.0,86.95652,0.0,43.47826,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,0.0,0.0,43.47826,0.0,130.434784,0.0,43.47826,43.47826,43.47826,43.47826,0.0,0.0,0.0,0.0,0.0,130.434784,130.434784,43.47826,0.0,0.0,0.0
27,1FUF,0.642857,0.461538,0.071429,0.142857,0.571429,0.857143,1.0,0.076923,0.230769,0.307692,0.076923,642.857117,357.142853,214.285721,214.285721,0.0,142.857147,71.428574,71.428574,71.428574,71.428574,214.285721,0.0,142.857147,142.857147,142.857147,71.428574,142.857147,71.428574,71.428574,0.0,142.857147,0.0,0.0,0.0,0.0,142.857147,0.0,71.428574,0.0,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,71.428574,71.428574,71.428574,71.428574,0.0,0.0,0.0,0.0,142.857147,0.0
28,2BEE,0.863636,0.285714,0.045455,0.272727,0.5,0.727273,1.0,0.285714,0.285714,0.095238,0.380952,863.636353,681.818176,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,0.0,227.27272,90.909088,136.363632,500.0,136.363632,136.363632,0.0,136.363632,0.0,0.0,0.0,90.909088,90.909088,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,0.0
29,1KOD,0.714286,0.384615,0.071429,0.142857,0.5,0.785714,0.928571,0.153846,0.307692,0.230769,0.307692,714.285706,500.0,214.285721,142.857147,0.0,214.285721,142.857147,71.428574,71.428574,214.285721,142.857147,71.428574,285.714294,214.285721,71.428574,71.428574,142.857147,0.0,71.428574,0.0,214.285721,0.0,0.0,0.0,71.428574,0.0,71.428574,142.857147,0.0,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,0.0,142.857147,0.0,0.0,142.857147,71.428574,0.0,0.0,71.428574,0.0,71.428574,0.0
30,1YRJ,0.782609,0.318182,0.130435,0.304348,0.521739,0.782609,1.0,0.272727,0.318182,0.090909,0.318182,782.608704,608.695679,130.434784,173.91304,130.434784,130.434784,130.434784,173.91304,0.0,173.91304,86.95652,130.434784,434.782623,130.434784,130.434784,0.0,173.91304,0.0,43.47826,0.0,86.95652,86.95652,43.47826,0.0,130.434784,0.0,0.0,43.47826,43.47826,43.47826,43.47826,0.0,86.95652,86.95652,0.0,0.0,43.47826,0.0,86.95652,0.0,0.0,0.0,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,0.0,86.95652,43.47826,0.0,43.47826,86.95652,0.0
31,1PBR,0.814815,0.307692,0.037037,0.259259,0.518519,0.740741,1.0,0.230769,0.307692,0.153846,0.269231,814.814819,629.629639,148.148148,148.148148,111.111115,148.148148,111.111115,148.148148,37.037037,148.148148,111.111115,111.111115,444.444458,148.148148,111.111115,37.037037,148.148148,0.0,37.037037,0.0,111.111115,74.074074,37.037037,0.0,111.111115,0.0,37.037037,37.037037,37.037037,37.037037,37.037037,0.0,74.074074,74.074074,0.0,0.0,37.037037,37.037037,37.037037,0.0,37.037037,0.0,37.037037,74.074074,37.037037,37.037037,0.0,74.074074,37.037037,37.037037,74.074074,0.0,37.037037,74.074074,37.037037
32,1KOC,0.785714,0.384615,0.071429,0.214286,0.5,0.642857,0.928571,0.307692,0.307692,0.230769,0.307692,785.714294,571.428589,214.285721,142.857147,71.428574,214.285721,214.285721,71.428574,71.428574,214.285721,142.857147,71.428574,357.142853,214.285721,142.857147,0.0,142.857147,0.0,0.0,0.0,214.285721,71.428574,0.0,0.0,71.428574,71.428574,0.0,142.857147,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,0.0,142.857147,0.0,0.0,142.857147,0.0,0.0,0.0,71.428574,0.0,142.857147,0.0
33,2PWT,0.857143,0.3,0.047619,0.238095,0.47619,0.761905,1.0,0.3,0.3,0.1,0.35,857.142883,666.666687,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,0.0,190.476196,95.238098,142.857147,476.190491,142.857147,142.857147,0.0,142.857147,0.0,0.0,0.0,95.238098,95.238098,47.619049,0.0,142.857147,0.0,0.0,47.619049,47.619049,47.619049,47.619049,0.0,47.619049,95.238098,0.0,0.0,0.0,0.0,95.238098,0.0,0.0,0.0,47.619049,95.238098,47.619049,47.619049,0.0,47.619049,0.0,47.619049,47.619049,0.0,47.619049,95.238098,0.0
34,2ET8,0.863636,0.285714,0.045455,0.272727,0.5,0.727273,1.0,0.285714,0.285714,0.095238,0.380952,863.636353,681.818176,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,0.0,227.27272,90.909088,136.363632,500.0,136.363632,136.363632,0.0,136.363632,0.0,0.0,0.0,90.909088,90.909088,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,0.0
35,1LC4,0.782609,0.318182,0.130435,0.304348,0.521739,0.782609,1.0,0.272727,0.318182,0.090909,0.318182,782.608704,608.695679,130.434784,173.91304,130.434784,130.434784,130.434784,173.91304,0.0,173.91304,86.95652,130.434784,434.782623,130.434784,130.434784,0.0,173.91304,0.0,43.47826,0.0,86.95652,86.95652,43.47826,0.0,130.434784,0.0,0.0,43.47826,43.47826,43.47826,43.47826,0.0,86.95652,86.95652,0.0,0.0,43.47826,0.0,86.95652,0.0,0.0,0.0,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,0.0,86.95652,43.47826,0.0,43.47826,86.95652,0.0
