,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
10,1TOB,0.703704,0.423077,0.111111,0.37037,0.592593,0.740741,1.0,0.407407,0.592593,0.538462,0.148148,0.37037,0.481481,0.62963,0.888889,0.037037,0.185185,0.518519,0.814815,1.0,0.192308,0.307692,0.307692,0.230769,703.703674,407.40741,592.59259,481.481476,185.185181,222.222229,148.148148,259.259247,259.259247,296.296295,111.111115,148.148148,74.074074,148.148148,148.148148,111.111115,148.148148,111.111115,333.333344,111.111115,148.148148,37.037037,148.148148,74.074074,74.074074,74.074074,74.074074,74.074074,185.185181,74.074074,185.185181,185.185181,74.074074,37.037037,74.074074,74.074074,0.0,37.037037,74.074074,37.037037,37.037037,37.037037,0.0,37.037037,0.0,74.074074,37.037037,74.074074,37.037037,0.0,0.0,37.037037,37.037037,74.074074,0.0,74.074074,0.0,74.074074,37.037037,37.037037,111.111115,0.0,0.0,74.074074,37.037037,0.0,74.074074,74.074074,37.037037
11,1FYP,0.62963,0.5,0.111111,0.296296,0.444444,0.777778,1.0,0.296296,0.703704,0.461538,0.185185,0.333333,0.481481,0.740741,0.851852,0.037037,0.222222,0.518519,0.703704,1.0,0.076923,0.423077,0.230769,0.230769,629.629639,296.296295,703.703674,370.370361,222.222229,259.259247,74.074074,222.222229,222.222229,444.444458,37.037037,222.222229,37.037037,185.185181,148.148148,74.074074,74.074074,148.148148,185.185181,148.148148,185.185181,37.037037,185.185181,74.074074,74.074074,0.0,74.074074,74.074074,148.148148,74.074074,148.148148,148.148148,259.259247,37.037037,148.148148,0.0,37.037037,0.0,148.148148,37.037037,37.037037,37.037037,0.0,0.0,37.037037,0.0,111.111115,0.0,74.074074,0.0,37.037037,37.037037,37.037037,0.0,37.037037,111.111115,74.074074,0.0,0.0,37.037037,37.037037,0.0,37.037037,37.037037,37.037037,74.074074,37.037037,37.037037,37.037037
12,1QD3,0.655172,0.464286,0.068966,0.241379,0.482759,0.758621,1.0,0.37931,0.62069,0.571429,0.137931,0.241379,0.37931,0.655172,0.896552,0.034483,0.172414,0.551724,0.793103,1.0,0.25,0.357143,0.25,0.321429,655.172424,379.310333,620.689636,413.793091,206.896545,241.379303,103.448273,275.862061,275.862061,310.344818,103.448273,206.896545,137.93103,137.93103,68.965515,206.896545,172.413788,103.448273,275.862061,137.93103,137.93103,68.965515,137.93103,68.965515,68.965515,68.965515,34.482758,137.93103,137.93103,34.482758,241.379303,137.93103,137.93103,68.965515,34.482758,103.448273,0.0,0.0,103.448273,0.0,68.965515,34.482758,34.482758,68.965515,0.0,0.0,68.965515,0.0,68.965515,34.482758,34.482758,0.0,34.482758,68.965515,0.0,0.0,68.965515,68.965515,68.965515,0.0,68.965515,103.448273,68.965515,0.0,34.482758,0.0,68.965515,34.482758,34.482758
13,2CKY,0.649351,0.434211,0.051948,0.272727,0.506494,0.74026,1.0,0.428571,0.571429,0.578947,0.051948,0.272727,0.506494,0.727273,0.987013,0.012987,0.181818,0.480519,0.792208,1.0,0.197368,0.184211,0.223684,0.355263,649.350647,428.571442,571.428589,428.571442,207.792206,220.779221,142.857147,285.714294,285.714294,272.727264,90.909088,103.896103,103.896103,77.922081,90.909088,194.805191,129.870132,155.844162,272.727264,142.857147,155.844162,51.948051,155.844162,64.935066,64.935066,51.948051,90.909088,142.857147,129.870132,90.909088,194.805191,142.857147,129.870132,77.922081,90.909088,25.974026,51.948051,12.987013,38.96104,25.974026,25.974026,90.909088,12.987013,0.0,25.974026,0.0,64.935066,0.0,12.987013,51.948051,38.96104,38.96104,51.948051,38.96104,38.96104,0.0,103.896103,38.96104,51.948051,25.974026,12.987013,90.909088,51.948051,0.0,64.935066,38.96104,51.948051,38.96104,51.948051
14,2OE8,0.625,0.466667,0.25,0.375,0.625,0.875,1.0,0.3125,0.6875,0.4,0.375,0.375,0.625,0.8125,0.875,0.0625,0.1875,0.4375,0.5625,1.0,0.2,0.4,0.2,0.2,625.0,312.5,687.5,375.0,187.5,250.0,125.0,187.5,187.5,437.5,125.0,187.5,62.5,187.5,125.0,62.5,62.5,125.0,187.5,125.0,187.5,0.0,187.5,62.5,62.5,0.0,125.0,62.5,125.0,125.0,62.5,125.0,250.0,62.5,125.0,62.5,0.0,62.5,187.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0,0.0,62.5,0.0,0.0,0.0,62.5,62.5,62.5,0.0,62.5,0.0
15,2GDI,0.6875,0.417722,0.0375,0.2875,0.5375,0.7375,1.0,0.45,0.55,0.506329,0.0375,0.325,0.55,0.75,0.9875,0.0125,0.175,0.4125,0.7125,1.0,0.265823,0.253165,0.202532,0.303797,687.5,450.0,550.0,475.0,200.0,212.5,200.0,250.0,250.0,287.5,137.5,125.0,125.0,125.0,100.0,150.0,100.0,150.0,325.0,137.5,150.0,50.0,150.0,62.5,62.5,87.5,112.5,112.5,125.0,112.5,137.5,137.5,150.0,100.0,75.0,62.5,50.0,25.0,75.0,12.5,25.0,50.0,37.5,37.5,50.0,12.5,112.5,0.0,12.5,12.5,37.5,62.5,50.0,50.0,25.0,12.5,62.5,50.0,37.5,12.5,25.0,62.5,37.5,37.5,100.0,12.5,37.5,12.5,50.0
16,2BEE,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
17,1ZZ5,0.857143,0.307692,0.071429,0.357143,0.571429,0.785714,1.0,0.285714,0.714286,0.615385,0.357143,0.357143,0.5,0.642857,0.857143,0.071429,0.142857,0.428571,0.785714,1.0,0.0,0.307692,0.538462,0.076923,857.142883,285.714294,714.285706,642.857117,142.857147,142.857147,0.0,285.714294,285.714294,357.142853,0.0,142.857147,0.0,142.857147,285.714294,0.0,214.285721,71.428574,571.428589,0.0,142.857147,0.0,71.428574,71.428574,0.0,0.0,0.0,142.857147,142.857147,0.0,285.714294,142.857147,142.857147,0.0,71.428574,0.0,0.0,0.0,71.428574,71.428574,0.0,0.0,0.0,0.0,0.0,0.0,71.428574,0.0,71.428574,0.0,0.0,0.0,0.0,142.857147,142.857147,0.0,0.0,0.0,0.0,0.0,214.285721,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,0.0
18,2F4U,0.666667,0.55,0.095238,0.285714,0.428571,0.714286,1.0,0.333333,0.666667,0.6,0.190476,0.285714,0.619048,0.714286,0.857143,0.047619,0.238095,0.47619,0.666667,1.0,0.1,0.35,0.3,0.3,666.666687,333.333344,666.666687,380.952393,238.095245,285.714294,47.619049,285.714294,285.714294,333.333344,47.619049,190.476196,47.619049,142.857147,190.476196,95.238098,95.238098,190.476196,238.095245,142.857147,190.476196,47.619049,142.857147,95.238098,47.619049,0.0,47.619049,190.476196,95.238098,47.619049,238.095245,95.238098,190.476196,47.619049,95.238098,0.0,47.619049,0.0,95.238098,47.619049,0.0,47.619049,0.0,0.0,47.619049,0.0,95.238098,0.0,47.619049,0.0,47.619049,0.0,47.619049,95.238098,47.619049,47.619049,95.238098,0.0,0.0,0.0,95.238098,0.0,0.0,47.619049,47.619049,95.238098,47.619049,0.0,47.619049
19,1KOD,0.642857,0.461538,0.071429,0.142857,0.428571,0.785714,1.0,0.428571,0.571429,0.461538,0.071429,0.357143,0.428571,0.5,1.0,0.142857,0.214286,0.571429,0.785714,0.928571,0.153846,0.384615,0.230769,0.230769,642.857117,428.571442,571.428589,357.142853,214.285721,214.285721,142.857147,214.285721,214.285721,357.142853,71.428574,142.857147,71.428574,214.285721,142.857147,71.428574,71.428574,142.857147,71.428574,214.285721,71.428574,142.857147,214.285721,0.0,142.857147,71.428574,71.428574,0.0,214.285721,71.428574,71.428574,214.285721,142.857147,71.428574,71.428574,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0,71.428574,142.857147
20,2BE0,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
21,2AU4,0.585366,0.525,0.097561,0.317073,0.560976,0.829268,1.0,0.365854,0.634146,0.45,0.097561,0.243902,0.536585,0.780488,0.926829,0.02439,0.219512,0.463415,0.707317,1.0,0.1,0.275,0.125,0.325,585.365845,365.853668,634.146362,317.073181,243.902435,268.292694,146.341461,219.512192,219.512192,390.243896,73.170731,121.951218,24.390244,146.341461,97.560974,121.951218,24.390244,195.121948,170.731705,121.951218,170.731705,73.170731,146.341461,121.951218,97.560974,48.780487,97.560974,73.170731,146.341461,97.560974,121.951218,146.341461,219.512192,48.780487,97.560974,0.0,48.780487,24.390244,97.560974,0.0,24.390244,24.390244,0.0,0.0,24.390244,48.780487,97.560974,24.390244,24.390244,0.0,0.0,48.780487,48.780487,0.0,24.390244,73.170731,73.170731,0.0,48.780487,24.390244,0.0,0.0,0.0,73.170731,73.170731,48.780487,73.170731,24.390244,48.780487
22,1Q8N,0.657895,0.459459,0.078947,0.236842,0.526316,0.789474,1.0,0.394737,0.605263,0.486486,0.078947,0.289474,0.657895,0.789474,0.947368,0.026316,0.210526,0.447368,0.631579,1.0,0.351351,0.216216,0.162162,0.324324,657.894714,394.736847,605.263184,421.052643,210.526321,236.842102,157.89473,236.842102,236.842102,342.105255,184.210526,105.263161,157.89473,105.263161,105.263161,131.578949,52.63158,184.210526,263.157898,131.578949,131.578949,78.947365,157.89473,78.947365,105.263161,52.63158,105.263161,52.63158,184.210526,105.263161,131.578949,184.210526,131.578949,78.947365,26.31579,105.263161,52.63158,26.31579,26.31579,0.0,78.947365,52.63158,26.31579,78.947365,26.31579,52.63158,26.31579,78.947365,0.0,26.31579,26.31579,78.947365,26.31579,26.31579,52.63158,26.31579,26.31579,26.31579,78.947365,0.0,0.0,52.63158,26.31579,78.947365,105.263161,26.31579,52.63158,0.0,78.947365
