,A,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
70,1TOB,0.481481,0.518519,0.5,0.111111,0.185185,0.555556,0.740741,1.0,0.037037,0.296296,0.407407,0.592593,0.925926,481.481476,518.518494,222.222229,222.222229,259.259247,259.259247,111.111115,74.074074,148.148148,74.074074,111.111115,148.148148,111.111115,148.148148
71,1Y27,0.485294,0.514706,0.522388,0.044118,0.220588,0.470588,0.75,1.0,0.014706,0.25,0.5,0.735294,0.985294,485.294128,514.705872,220.588242,250.0,264.705872,250.0,88.235291,132.352936,147.058823,102.941177,132.352936,117.647057,117.647057,132.352936
72,1O15,0.545455,0.454545,0.53125,0.090909,0.242424,0.454545,0.666667,1.0,0.030303,0.181818,0.575758,0.757576,0.969697,545.454529,454.545441,272.727264,242.42424,272.727264,181.818176,121.21212,151.515152,151.515152,90.909088,151.515152,90.909088,121.21212,60.60606
73,2FCZ,0.565217,0.434783,0.409091,0.043478,0.347826,0.608696,0.782609,0.956522,0.086957,0.130435,0.304348,0.521739,1.0,565.217407,434.782623,347.82608,217.391312,173.91304,217.391312,217.391312,130.434784,43.47826,130.434784,130.434784,43.47826,130.434784,86.95652
74,1FYP,0.444444,0.555556,0.5,0.111111,0.296296,0.407407,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,444.444458,555.555542,185.185181,222.222229,259.259247,296.296295,74.074074,74.074074,74.074074,148.148148,111.111115,148.148148,185.185181,111.111115
75,1NEM,0.391304,0.608696,0.5,0.130435,0.173913,0.478261,0.826087,1.0,0.043478,0.26087,0.434783,0.695652,0.913043,391.304352,608.695679,130.434784,217.391312,260.869568,347.82608,0.0,86.95652,86.95652,130.434784,130.434784,130.434784,173.91304,173.91304
76,1HNW,0.333333,0.666667,0.6,0.166667,0.0,0.166667,0.833333,0.833333,0.333333,0.333333,0.5,0.666667,1.0,333.333344,666.666687,0.0,333.333344,166.666672,333.333344,0.0,0.0,0.0,166.666672,0.0,166.666672,166.666672,166.666672
77,1Y26,0.450704,0.549296,0.528571,0.014085,0.197183,0.56338,0.732394,0.957746,0.028169,0.309859,0.478873,0.788732,1.0,450.704224,549.295776,183.098587,267.605621,253.521133,281.690155,70.422539,112.676056,140.845078,126.760567,112.676056,140.845078,112.676056,154.929581
78,2O3X,0.478261,0.521739,0.409091,0.173913,0.347826,0.478261,0.73913,1.0,0.043478,0.130435,0.565217,0.695652,0.956522,478.260864,521.739136,260.869568,173.91304,217.391312,304.347839,173.91304,86.95652,43.47826,130.434784,86.95652,86.95652,173.91304,130.434784
79,1PBR,0.481481,0.518519,0.423077,0.111111,0.259259,0.37037,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,481.481476,518.518494,259.259247,185.185181,222.222229,296.296295,148.148148,74.074074,37.037037,148.148148,111.111115,111.111115,185.185181,111.111115
80,3GX2,0.531915,0.468085,0.451613,0.031915,0.319149,0.5,0.744681,0.989362,0.010638,0.191489,0.457447,0.755319,1.0,531.914917,468.085114,308.510651,223.404251,223.404251,234.042557,170.212769,138.297867,95.744682,117.021278,138.297867,85.106384,127.659576,106.38298
81,1MWL,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
82,1Y26,0.450704,0.549296,0.528571,0.014085,0.197183,0.56338,0.732394,0.957746,0.028169,0.309859,0.478873,0.788732,1.0,450.704224,549.295776,183.098587,267.605621,253.521133,281.690155,70.422539,112.676056,140.845078,126.760567,112.676056,140.845078,112.676056,154.929581
83,3SUX,0.455446,0.544554,0.45,0.029703,0.247525,0.534653,0.683168,1.0,0.009901,0.267327,0.465347,0.752475,0.990099,455.445557,544.554443,227.722778,217.821777,227.722778,316.831696,99.009903,128.712875,79.207924,138.613861,128.712875,89.10891,148.514847,168.316833
84,4FE5,0.507463,0.492537,0.5,0.044776,0.208955,0.537313,0.761194,1.0,0.014925,0.238806,0.477612,0.731343,0.970149,507.462677,492.537323,253.731339,238.805969,253.731339,238.805969,104.477615,134.328354,134.328354,104.477615,149.253738,104.477615,119.402985,119.402985
85,1F1T,0.526316,0.473684,0.567568,0.078947,0.236842,0.526316,0.736842,1.0,0.026316,0.210526,0.447368,0.763158,0.947368,526.315796,473.684204,236.842102,263.157898,289.473694,184.210526,78.947365,131.578949,184.210526,78.947365,157.89473,131.578949,105.263161,78.947365
86,2OE5,0.588235,0.411765,0.4375,0.235294,0.294118,0.529412,0.882353,1.0,0.058824,0.117647,0.352941,0.647059,0.823529,588.235291,411.764709,352.941162,176.470581,235.294113,176.470581,176.470581,117.647057,117.647057,58.823528,176.470581,58.823528,117.647057,58.823528
87,1BYJ,0.481481,0.518519,0.423077,0.111111,0.259259,0.37037,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,481.481476,518.518494,259.259247,185.185181,222.222229,296.296295,148.148148,74.074074,37.037037,148.148148,111.111115,111.111115,185.185181,111.111115
88,1FJG,0.485545,0.514455,0.461538,0.005913,0.26544,0.516426,0.762812,0.999343,0.000657,0.23456,0.485545,0.735217,1.0,485.545349,514.454651,254.927719,230.617615,230.617615,283.180023,126.149803,128.777924,105.781868,124.178711,128.777924,101.839684,124.835739,158.344284
89,1EHT,0.545455,0.454545,0.53125,0.090909,0.242424,0.454545,0.666667,1.0,0.030303,0.181818,0.575758,0.757576,0.969697,545.454529,454.545441,272.727264,242.42424,272.727264,181.818176,121.21212,151.515152,151.515152,90.909088,151.515152,90.909088,121.21212,60.60606
