,A,LORFL: Longest ORF length,ORFCo: ORF coverage,ORFIn: ORF integrity,ORFFS: ORF frame score,ORFEA: Entropy density A on ORF,ORFEC: Entropy density C on ORF,ORFED: Entropy density D on ORF,ORFEE: Entropy density E on ORF,ORFEF: Entropy density F on ORF,ORFEG: Entropy density G on ORF,ORFEH: Entropy density H on ORF,ORFEI: Entropy density I on ORF,ORFEK: Entropy density K on ORF,ORFEL: Entropy density L on ORF,ORFEM: Entropy density M on ORF,ORFEN: Entropy density N on ORF,ORFEP: Entropy density P on ORF,ORFEQ: Entropy density Q on ORF,ORFER: Entropy density R on ORF,ORFES: Entropy density S on ORF,ORFET: Entropy density T on ORF,ORFEV: Entropy density V on ORF,ORFEW: Entropy density W on ORF,ORFEY: Entropy density Y on ORF,EucDist.LNC_orf,EucDist.PCT_orf,EucDist.Ratio_orf,LogDist.LNC_orf,LogDist.PCT_orf,LogDist.Ratio_orf,Hexamer.Score_orf
45,1XPF,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1EHT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1Q8N,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1F1T,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1J7T,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2BE0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1NTB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1J7T,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1YKV,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1MWL,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2TOB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2OGN,213.0,0.073958,1.0,0.0,0.060802437698957906,0.05018530407458341,0.022562957507390655,0.05018530407458341,0.0377635669259765,0.07828356393045356,0.022562957507390655,0.05018530407458341,0.05018530407458341,0.0921554831128589,0.0377635669259765,0.05018530407458341,0.0377635669259765,1.3262031649964736e-10,0.1033436204513988,0.09804520697333126,0.05018530407458341,0.07007768040157104,0.0377635669259765,1.3262031649964736e-10,0.070555,0.070592,0.999477,-15.478553,-15.64033,0.989656,0.0
57,1XBP,213.0,0.073958,1.0,0.0,0.060802437698957906,0.05018530407458341,0.022562957507390655,0.05018530407458341,0.0377635669259765,0.07828356393045356,0.022562957507390655,0.05018530407458341,0.05018530407458341,0.0921554831128589,0.0377635669259765,0.05018530407458341,0.0377635669259765,1.3262031649964736e-10,0.1033436204513988,0.09804520697333126,0.05018530407458341,0.07007768040157104,0.0377635669259765,1.3262031649964736e-10,0.070555,0.070592,0.999477,-15.478553,-15.64033,0.989656,0.0
58,1F27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2FD0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1NEM,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1AM0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2G9C,45.0,0.671642,-1.0,0.0,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,0.07427074344600228,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,0.11052110128165926,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,6.426251845332698e-10,6.426251845332698e-10,0.15809,0.158283,0.998786,-96.080652,-96.242388,0.998319,0.0
63,2TOB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1AM0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2ESJ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2F4U,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1F27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2GIS,51.0,0.542553,1.0,0.0,6.457840984195419e-10,0.07620466434307496,6.457840984195419e-10,6.457840984195419e-10,0.07620466434307496,0.07620466434307496,6.457840984195419e-10,6.457840984195419e-10,0.13802784147748207,0.07620466434307496,0.07620466434307496,0.07620466434307496,0.07620466434307496,0.13802784147748207,0.11430699648837958,6.457840984195419e-10,6.457840984195419e-10,6.457840984195419e-10,0.07620466434307496,6.457840984195419e-10,0.146646,0.146508,1.000944,-83.499152,-83.614314,0.998623,0.0
69,2ET8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1TOB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1Y27,45.0,0.661765,-1.0,0.0,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,0.07427074344600228,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,0.11052110128165926,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,0.07427074344600228,6.426251845332698e-10,0.158117,0.158211,0.999405,-96.073017,-96.360158,0.99702,0.0
72,1O15,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2FCZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1FYP,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1NEM,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1HNW,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1Y26,39.0,0.549296,1.0,0.0,0.08739643593558825,8.162526176446878e-10,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,8.162526176446878e-10,8.162526176446878e-10,8.162526176446878e-10,0.12603563329784404,0.08739643593558825,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.170672,0.171356,0.996008,-114.908493,-114.447239,1.00403,0.0
78,2O3X,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1PBR,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3GX2,42.0,0.446809,-1.0,0.0,0.12603707328502353,7.565916740257807e-10,0.08546619233143342,0.12603707328502353,7.565916740257807e-10,7.565916740257807e-10,7.565916740257807e-10,0.08546619233143342,0.08546619233143342,0.08546619233143342,0.08546619233143342,7.565916740257807e-10,0.1496624995440025,7.565916740257807e-10,7.565916740257807e-10,7.565916740257807e-10,0.08546619233143342,0.08546619233143342,7.565916740257807e-10,7.565916740257807e-10,0.163609,0.163293,1.001932,-104.98982,-105.124176,0.998722,0.0
81,1MWL,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1Y26,39.0,0.549296,1.0,0.0,0.08739643593558825,8.162526176446878e-10,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,8.162526176446878e-10,8.162526176446878e-10,8.162526176446878e-10,0.12603563329784404,0.08739643593558825,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.08739643593558825,0.08739643593558825,8.162526176446878e-10,0.170672,0.171356,0.996008,-114.908493,-114.447239,1.00403,0.0
83,3SUX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4FE5,45.0,0.671642,-1.0,0.0,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,0.07427074344600228,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,0.11052110128165926,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,6.426251845332698e-10,6.426251845332698e-10,0.158118,0.15822,0.99936,-96.07215,-96.352037,0.997095,0.0
85,1F1T,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2OE5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1BYJ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1FJG,294.0,0.193167,1.0,0.0,0.08037738873512405,0.031258143686466344,0.031258143686466344,1.0186201169282768e-10,0.018420020974972393,0.1192060421772068,0.031258143686466344,0.018420020974972393,0.031258143686466344,0.08037738873512405,0.018420020974972393,0.05135249086595124,0.10097487615650423,0.0419894137868809,0.11609959149108479,0.06723313282211899,0.0419894137868809,0.0419894137868809,0.05969818890862635,0.018420020974972393,0.060374,0.059313,1.017885,-10.444387,-10.796294,0.967405,0.0
89,1EHT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
